,sample_name,tax_id,tax_level,genus_tax_id,name,common_name,category,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,expected_bg_count,p_val,p_adj,Barcode
8617,EARLI_10456_PLaD1_F17_OPS046_S262,1766,1,1866885,Mycolicibacterium fortuitum,,bacteria,-1.74811281,-0.067260288,-0.201602926,0.074314076,4,NA,NA,91.05,109.5,49.0072,0.4076,1.65318,NA,NA,-0.067260288,0.037157038,2,NA,NA,100,48,307.653,0.0471727,0.148909,NA,NA,NA,0.182070464,0.000426847,0.001678488,10456
8618,EARLI_10456_PLaD1_F17_OPS046_S262,56689,1,1866885,Mycolicibacterium mucogenicum,,bacteria,-19.04912569,0.932057715,0.932057715,0.074314076,4,NA,NA,96.4965,190.5,90.7284,0.00854305,0.0705654,NA,NA,-0.166446879,1.560595586,84,1,12,88.966,52.9881,220.296,3.23595,10.0654,NA,NA,NA,0,0,0,10456
8619,EARLI_10456_PLaD1_F17_OPS046_S262,75385,1,116071,Micropruina glycogenica,,bacteria,557.3555663,100,100,0.037157038,2,NA,NA,90.3,103.5,44.9092,NA,NA,NA,NA,100,0.018578519,1,NA,NA,95.1,41,307.653,NA,NA,NA,NA,NA,0.093877134,0.001401721,0.004945323,10456
8621,EARLI_10456_PLaD1_F17_OPS046_S262,147645,1,265,Paracoccus yeei,,bacteria,-0.008144516,-0.295602038,-0.328176151,0.037157038,2,NA,NA,100,146,87.6383,7.58872,23.0107,NA,NA,-0.295602038,0.037157038,2,NA,NA,100,48,307.653,2.1525,7.15605,NA,NA,NA,0.122448938,0.002734352,0.00897337,10456
8622,EARLI_10456_PLaD1_F17_OPS046_S262,739141,1,407,Methylobacterium sp. XJLW,,bacteria,3.702833551,100,100,0.074314076,4,NA,NA,100,198.5,107.863,NA,NA,NA,NA,100,0.037157038,2,NA,NA,97.619,42,20.8601,NA,NA,NA,NA,NA,0,0,0,10456
8623,EARLI_10456_PLaD1_F17_OPS046_S262,160791,1,13687,Sphingomonas wittichii,,bacteria,-0.010825819,-0.287721148,-0.287721148,0.148628151,8,NA,NA,92.0435,90.625,30.0524,1.05314,3.14371,NA,NA,-0.294244425,0.037157038,2,NA,NA,100,48,307.653,0.534845,1.69141,NA,NA,NA,0,0,0,10456
8626,EARLI_10456_PLaD1_F17_OPS046_S262,33887,1,33886,Rathayibacter rathayi,,bacteria,2.286952935,100,100,0.037157038,2,NA,NA,93.45,229,90.8762,NA,NA,NA,NA,100,0.037157038,2,NA,NA,97.436,78,47.9136,NA,NA,NA,NA,NA,0.003593192,1.24e-07,6.74e-07,10456
8627,EARLI_10456_PLaD1_F17_OPS046_S262,363952,1,283,Comamonas thiooxydans,,bacteria,2.113961984,100,100,0.111471113,6,NA,NA,91.8497,129.333,50.4005,NA,NA,NA,NA,-0.325268971,0.037157038,2,NA,NA,89.2,37,307.653,1.35677,4.05699,NA,NA,NA,0,0,0,10456
8630,EARLI_10456_PLaD1_F17_OPS046_S262,78587,1,76890,Asticcacaulis excentricus,,bacteria,-0.005488237,-0.258646407,-0.258646407,0.055735557,3,NA,NA,93.7667,96,43.9279,0.380642,1.25618,NA,NA,-0.270876664,0.018578519,1,NA,NA,91.7,48,307.653,0.20444,0.686148,NA,NA,NA,0.130804475,0.000609035,0.002329683,10456
8631,EARLI_10456_PLaD1_F17_OPS046_S262,69373,1,2034,Curtobacterium pusillum,,bacteria,-0.001390099,0.165648571,-0.264086345,0.037157038,2,NA,NA,92.9,126,61.6198,0.171371,0.50822,NA,NA,0.165648571,0.018578519,1,NA,NA,100,42,307.653,0.0103135,0.0498949,NA,NA,NA,0.050296839,0.00026579,0.001081179,10456
