NHSN Display Name
Abiotrophia
Abiotrophia defectiva
Acanthamoeba
Acholeplasma
Acholeplasma laidlawii
Acholeplasma oculi
Achromobacter
Achromobacter denitrificans
Achromobacter piechaudii
Achromobacter ruhlandii
Achromobacter xylosoxidans
Acidaminococcus
Acidaminococcus fermentans
Acid-fast bacillus
Acidovorax
Acidovorax delafieldii
Acidovorax facilis
Acidovorax temperans
Acinetobacter
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter calcoaceticus-baumannii complex
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffi
Acinetobacter nosocomialis
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter ursingii
Acremonium
Acremonium alabamensis
Acremonium potroni
Actinobacillus
Actinobacillus equuli
Actinobacillus hominis
Actinobacillus lignieresii
Actinobacillus suis
Actinobacillus ureae
Actinobaculum
Actinobaculum massiliense
Actinomadura
Actinomadura latina
Actinomadura madurae
Actinomadura pelletieri
Actinomyces
Actinomyces bovis
Actinomyces dentalis
Actinomyces funkei
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces israelii
Actinomyces naeslundii
Actinomyces oricola
Actinomyces oris
Actinomyces radicidentis
Actinomyces urogenitalis
Actinomyces viscosus
Actinotignum
Actinotignum schaalii
Actinotignum urinale
Aerobe
Aerococcus
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Aerococcus viridans
Aeromonas
Aeromonas bestiarum
Aeromonas caviae
Aeromonas encheleia
Aeromonas hydrophila
Aeromonas hydrophila complex
Aeromonas media
Aeromonas molluscorum
Aeromonas popoffii
Aeromonas salmonicida
Aeromonas schubertii
Aeromonas simiae
Aeromonas sobria
Aeromonas trota
Aeromonas veronii
Afipia
Afipia clevelandensis
Afipia felis
Aggregatibacter
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrobacterium
Agromyces
Alcaligenes
Alcaligenes faecalis
Alishewanella
Alishewanella fetalis
Alistipes
Alistipes putredinis
Alloiococcus
Alloiococcus otitis
Alloscardovia
Alloscardovia omnicolens
Alpha-hemolytic streptococcus
"Alpha-hemolytic Streptococcus, not S pneumoniae"
Alternaria
Alternaria alternata
Alternaria dianthicola
Alternaria infectoria
Alternaria tenuissima
Alysiella
Alysiella crassa
Amycolatopsis
Amycolatopsis orientalis
Anaerobe
Anaerobic Gram-negative bacillus
Anaerobic Gram-negative coccobacillus
Anaerobic Gram-negative coccus
Anaerobic Gram-positive bacillus
Anaerobic Gram-positive coccobacillus
Anaerobic Gram-positive coccus
Anaerobiospirillum
Anaerobiospirillum thomasii
Anaerococcus
Anaerococcus hydrogenalis
Anaerococcus lactolyticus
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus tetradius
Anaerococcus vaginalis
Anaerorhabdus
Anaplasma
Ancylostoma
Aneurinibacillus
Aneurinibacillus aneurinilyticus
Angiostrongylus
Apophysomyces
Apophysomyces elegans
Aquabacterium
Aquabacterium parvum
Arcanobacterium
Arcanobacterium haemolyticum
Arcanobacterium pluranimalium
Arcobacter
Arcobacter butzleri
Arcobacter nitrofigilis
Arenavirus
Arsenicicoccus
Arsenicicoccus bolidensis
Arthrobacter
Arthrobacter agilis
Arthrobacter astrocyaneus
Arthrobacter citreus
Arthrobacter crystallopoietes
Arthrobacter flavus
Arthrobacter gandavensis
Arthrobacter globiformis
Arthrobacter koreensis
Arthrobacter luteolus
Arthrobacter methylotrophus
Arthrobacter nasiphocae
Arthrobacter oryzae
Arthrobacter pascens
Arthrobacter psychrolactophilus
Arthrobacter ramosus
Arthrobacter rhombi
Arthrobacter roseus
Arthrobacter russicus
Arthrobacter viscosus
Arthrobacter woluwensis
Arthroderma
Arthrographis
Ascaris
Aspergillus
Aspergillus candidus
Aspergillus clavatus
Aspergillus deflectus
Aspergillus flavipes
Aspergillus flavus
Aspergillus fumigatus
Aspergillus glaucus
Aspergillus nidulans
Aspergillus niger
Aspergillus niveus
Aspergillus ochraceus
Aspergillus oryzae
Aspergillus parasiticus
Aspergillus restrictus
Aspergillus sydowii
Aspergillus terreus
Aspergillus ustus
Aspergillus versicolor
Aspergillus wentii
Astroviridae
Atopobium
Atopobium fossor
Atopobium minutum
Atopobium rimae
Atopobium vaginae
Aureimonas
Aureimonas altamirensis
Aureobasidium
Aureobasidium pullulans
Averyella
Azorhizobium
Azorhizobium caulinodans
Azospirillum
Azospirillum brasilense
B19 virus
Babesia
Babesia microti
Bacillus
Bacillus aeolius
Bacillus aerius
Bacillus alcalophilus
Bacillus algicola
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus aquimaris
Bacillus arseniciselenatis
Bacillus asahii
Bacillus atrophaeus
Bacillus azotoformans
Bacillus badius
Bacillus bataviensis
Bacillus benzoevorans
Bacillus butanolivorans
Bacillus carboniphilus
Bacillus cereus
Bacillus cereus group
Bacillus chittonlyticus
Bacillus circulans
Bacillus circulans group
Bacillus clarkii
Bacillus clausii
Bacillus cohnii
Bacillus decisifrondis
Bacillus decolorationis
Bacillus dipsosauri
Bacillus ehimensis
Bacillus farraginis
Bacillus fastidiosus
Bacillus firmus
Bacillus fordii
Bacillus fortis
Bacillus fumarioli
Bacillus funiculus
Bacillus galactosidilyticus
Bacillus gibsonii
Bacillus gornadae
Bacillus halmapalus
Bacillus halodenitrificans
Bacillus halodurans
Bacillus horikoshii
Bacillus horti
Bacillus humi
Bacillus hwajinpoensis
Bacillus idriensis
Bacillus indicus
Bacillus infantis
Bacillus infernus
Bacillus kaustophilus
Bacillus korlensis
Bacillus krulwichiae
Bacillus lentus
Bacillus licheniformis
Bacillus luciferensis
Bacillus macroides
Bacillus macyae
Bacillus marisflavi
Bacillus methanolicus
Bacillus mojavensis
Bacillus muralis
Bacillus mycoides
Bacillus nealsonii
Bacillus niacini
Bacillus novalis
Bacillus okuhidensis
Bacillus oleronius
Bacillus pasteurii
Bacillus patagoniensis
Bacillus pocheonensis
Bacillus pseudalcaliphilus
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus psychrophilus
Bacillus psychrosaccharolyticus
Bacillus pulvifaciens
Bacillus pumilus
Bacillus salexigens
Bacillus saliphilus
Bacillus selenitireducens
Bacillus shackletonii
Bacillus simplex
Bacillus siralis
Bacillus smithii
Bacillus sonorensis
Bacillus sporothermodurans
Bacillus subtilis
Bacillus subtilis group
Bacillus subtilis spizizenii
Bacillus subtilis subtilis
Bacillus tequilensis
Bacillus thermantarcticus
Bacillus thermoamylovorans
Bacillus thermocatenulatus
Bacillus thermocloacae
Bacillus thuringiensis
Bacillus tusciae
Bacillus vallismortis
Bacillus vedderi
Bacillus velezensis
Bacillus vietnamensis
Bacillus vireti
Bacillus weihenstephanensis
"Bacillus, not B. anthracis"
Bacteroides
Bacteroides caccae
Bacteroides coagulans
Bacteroides eggerthii
Bacteroides fragilis
Bacteroides fragilis group
Bacteroides nordii
Bacteroides ovatus
Bacteroides pyogenes
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides zoogleoformans
Balantidium
Balneatrix
Balneatrix alpica
Bartonella
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella henselae
Bartonella quintana
Bartonella vinsonii
Basidiobolus
Basidiobolus ranarum
Beauveria
Beauveria bassiana
Bergeyella
Bergeyella zoohelcum
Beta-hemolytic streptococcus
"Beta-hemolytic Streptococcus, group A"
"Beta-hemolytic streptococcus, non-Group A, non-Group B"
Bifidobacterium
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium dentium
Bifidobacterium gallicum
Bifidobacterium infantis
Bifidobacterium longum
Bifidobacterium pseudocatenulatum
Bifidobacterium scardovii
Bilophila
Bilophila wadsworthia
Bipolaris
Bipolaris australiensis
Bipolaris spicifera
BK Polyomavirus
Blastomyces
Blastomyces dermatitidis
Blastoschizomyces
Blautia
Blautia coccoides
Blautia hansenii
Blautia producta
Bocavirus
Bordetella
Bordetella avium
Bordetella bronchiseptica
Bordetella hinzii
Bordetella holmesii
Bordetella parapertussis
Bordetella pertussis
Bordetella petrii
Bordetella trematum
Borrelia
Borrelia afzelii
Borrelia anserina
Borrelia burgdorferi
Borrelia caucasica
Borrelia coriaceae
Borrelia crocidurae
Borrelia duttonii
Borrelia garinii
Borrelia hermsii
Borrelia hispanica
Borrelia japonica
Borrelia lusitaniae
Borrelia mazzottii
Borrelia miyamotoi
Borrelia parkeri
Borrelia recurrentis
Borrelia tanukii
Borrelia theileri
Borrelia turicatae
Borrelia valaisiana
Borrelia venezuelensis
Brachybacterium
Brachybacterium muris
Brachyspira
Brachyspira aalborgi
Brachyspira pilosicoli
Brevibacillus
Brevibacillus agri
Brevibacillus brevis
Brevibacillus centrosporus
Brevibacillus laterosporus
Brevibacillus parabrevis
Brevibacterium
Brevibacterium casei
Brevibacterium epidermidis
Brevibacterium linens
Brevibacterium luteolum
Brevibacterium mcbrellneri
Brevibacterium ravenspurgense
Brevibacterium sanguinis
Brevundimonas
Brevundimonas diminuta
Brevundimonas vesicularis
Brucella
Brucella abortus
Brucella canis
Brucella melitensis
Brucella neotomae
Brucella ovis
Brucella suis
Budvicia
Budvicia aquatica
Bulleidia
Bulleidia extructa
Bunyaviridae
Burkholderia
Burkholderia ambifaria
Burkholderia anthina
Burkholderia arboris
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia cepacia complex
Burkholderia contaminans
Burkholderia diffusa
Burkholderia dolosa
Burkholderia gladioli
Burkholderia lata
Burkholderia latens
Burkholderia mallei
Burkholderia metallica
Burkholderia multivorans
Burkholderia pseudomallei
Burkholderia pyrrocinia
Burkholderia stabilis
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Buttiauxella
Buttiauxella agrestis
Buttiauxella brennerae
Buttiauxella ferragutiae
Buttiauxella gaviniae
Buttiauxella noackiae
Buttiauxella warmboldiae
Butyricimonas
Butyricimonas virosa
Butyrivibrio
Butyrivibrio fibrisolvens
Butyrivibrio hungatei
Calicivirus
California encephalitis virus
Campylobacter
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter helveticus
Campylobacter hominis
Campylobacter hyointestinalis
Campylobacter insulaenigrae
Campylobacter jejuni
Campylobacter lanienae
Campylobacter lari
Campylobacter mucosalis
Campylobacter rectus
Campylobacter showae
Campylobacter sputorum
Campylobacter upsaliensis
Campylobacter ureolyticus
Candida
Candida albicans
Candida auris
Candida bracarensis
Candida ciferrii
Candida dubliniensis
Candida duobushaemulonii
Candida glabrata
Candida guilliermondii
Candida guilliermondii var membranaefaciens
Candida haemulonii
Candida inconspicua
Candida intermedia
Candida kefyr
Candida krusei
Candida lambica
Candida lusitaniae
Candida metapsilosis
Candida nivariensis
Candida norvegensis
Candida orthopsilosis
Candida parapsilosis
Candida parapsilosis complex
Candida pararugosa
Candida pelliculosa
Candida pintolopesii
Candida pulcherrima
Candida rugosa
Candida sake
Candida stellatoidea
Candida stellimalicola
Candida tropicalis
Candida utilis
Candida vini
Candida viswanathii
Candida zeylanoides
Capnocytophaga
Capnocytophaga canimorsus
Capnocytophaga cynodegmi
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga haemolytica
Capnocytophaga ochracea
Capnocytophaga sputigena
carbapenem resistant Acinetobacter
carbapenem resistant Enterobacter cloacae
carbapenem resistant Klebsiella pneumoniae
Cardiobacterium
Cardiobacterium hominis
Cardiobacterium valvarum
Catabacter
Catenibacterium
Catenibacterium mitsuokai
Catonella
Catonella morbi
Cedecea
Cedecea davisae
Cedecea lapagei
Cedecea neteri
Cellulomonas
Cellulomonas hominis
Cellulomonas humilata
Cellulosimicrobium
Cellulosimicrobium cellulans
Centipeda
Centipeda periodontii
Chaetomium
Chaetomium globosum
Chikungunya virus
Chilomastix
Chilomastix mesnili
Chlamydia
Chlamydia trachomatis
Chlamydophila
Chlamydophila abortus
Chlamydophila pneumoniae
Chlamydophila psittaci
Chromobacterium
Chromobacterium violaceum
Chryseobacterium
Chryseobacterium gleum
Chryseobacterium indologenes
Chrysosporium
Citrobacter
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter freundii complex
Citrobacter gillenii
Citrobacter koseri
