time,n.risk,n.event,n.censor,surv,std.err,upper,lower,strata,y_pred
1,34,3,0,0.911764706,0.053350725,1,0.821240876,y_pred=1,1
2,31,4,0,0.794117647,0.087322805,0.942354164,0.669199396,y_pred=1,1
3,27,1,0,0.764705882,0.095130299,0.921445149,0.634628211,y_pred=1,1
4,26,1,0,0.735294118,0.102899151,0.899599091,0.600998206,y_pred=1,1
5,25,1,0,0.705882353,0.110701861,0.876923926,0.568201963,y_pred=1,1
6,24,1,0,0.676470588,0.11860226,0.853499647,0.536160101,y_pred=1,1
7,23,2,0,0.617647059,0.134934365,0.80463092,0.474115373,y_pred=1,1
11,21,1,0,0.588235294,0.143486011,0.779267551,0.444033324,y_pred=1,1
12,20,1,0,0.558823529,0.152380492,0.753322942,0.414541652,y_pred=1,1
14,19,1,0,0.529411765,0.161690417,0.726816403,0.38562258,y_pred=1,1
15,18,1,0,0.5,0.171498585,0.69976121,0.35726473,y_pred=1,1
16,17,1,0,0.470588235,0.181901719,0.672165301,0.32946254,y_pred=1,1
17,16,1,0,0.441176471,0.193015289,0.644031715,0.302215984,y_pred=1,1
23,15,1,0,0.411764706,0.204980015,0.615358812,0.275530584,y_pred=1,1
32,14,1,0,0.382352941,0.217970898,0.586140324,0.2494177,y_pred=1,1
34,13,1,0,0.352941176,0.232210182,0.556365247,0.223895139,y_pred=1,1
91,12,0,12,0.352941176,0.232210182,0.556365247,0.223895139,y_pred=1,1
1,88,1,0,0.988636364,0.011428758,1,0.966737141,y_pred=0,0
2,87,2,0,0.965909091,0.02002672,1,0.928730009,y_pred=0,0
3,85,1,0,0.954545455,0.023262105,0.999073303,0.912002175,y_pred=0,0
4,84,1,0,0.943181818,0.026164029,0.992810318,0.896034143,y_pred=0,0
5,83,3,0,0.909090909,0.033709993,0.97118354,0.850968172,y_pred=0,0
6,80,2,0,0.886363636,0.038169051,0.955215774,0.822474374,y_pred=0,0
7,78,1,0,0.875,0.040291148,0.946899616,0.808559838,y_pred=0,0
8,77,1,0,0.863636364,0.042358687,0.938397193,0.794831628,y_pred=0,0
9,76,1,0,0.852272727,0.044381268,0.929728181,0.78127007,y_pred=0,0
12,75,1,0,0.840909091,0.046366768,0.920908564,0.767859185,y_pred=0,0
14,74,1,0,0.829545455,0.048321773,0.911951529,0.754585786,y_pred=0,0
20,73,1,0,0.818181818,0.050251891,0.902868105,0.741438848,y_pred=0,0
22,72,1,0,0.806818182,0.052161966,0.89366762,0.728409046,y_pred=0,0
27,71,1,0,0.795454545,0.054056248,0.884358042,0.715488415,y_pred=0,0
37,70,1,0,0.784090909,0.055938513,0.874946236,0.702670093,y_pred=0,0
91,69,0,69,0.784090909,0.055938513,0.874946236,0.702670093,y_pred=0,0
