gene_name,significant_in_sepsis,overlap_with_icucontrols,significant_in_icucontrols
A2M,TRUE,FALSE,FALSE
AAR2,TRUE,FALSE,FALSE
AARS2,TRUE,FALSE,FALSE
AARSD1,TRUE,FALSE,FALSE
ABCA13,TRUE,FALSE,FALSE
ABCB4,TRUE,FALSE,FALSE
ABCD3,TRUE,FALSE,FALSE
ABHD13,TRUE,FALSE,FALSE
ABHD14A,TRUE,FALSE,FALSE
ABHD17A,TRUE,FALSE,FALSE
ABHD5,TRUE,FALSE,FALSE
ABI1,TRUE,FALSE,FALSE
ABI3,TRUE,FALSE,FALSE
ABR,TRUE,FALSE,FALSE
ABRACL,TRUE,FALSE,FALSE
ABRAXAS2,TRUE,FALSE,FALSE
AC004687.2,TRUE,FALSE,FALSE
AC005324.3,TRUE,FALSE,FALSE
AC005697.1,TRUE,FALSE,FALSE
AC005702.1,TRUE,FALSE,FALSE
AC005837.2,FALSE,FALSE,TRUE
AC006030.1,TRUE,FALSE,FALSE
AC006978.2,TRUE,FALSE,FALSE
AC007326.4,TRUE,FALSE,FALSE
AC008537.1,TRUE,FALSE,FALSE
AC008581.2,TRUE,FALSE,FALSE
AC009879.3,TRUE,FALSE,FALSE
AC011511.1,TRUE,FALSE,FALSE
AC013470.2,TRUE,FALSE,FALSE
AC021087.5,TRUE,FALSE,FALSE
AC022415.3,TRUE,FALSE,FALSE
AC022966.1,TRUE,FALSE,FALSE
AC027644.4,TRUE,FALSE,FALSE
AC034102.2,TRUE,FALSE,FALSE
AC040160.1,TRUE,FALSE,FALSE
AC040162.1,TRUE,FALSE,FALSE
AC068831.8,TRUE,FALSE,FALSE
AC068896.3,TRUE,FALSE,FALSE
AC073111.4,TRUE,FALSE,FALSE
AC084121.13,TRUE,FALSE,FALSE
AC087721.2,TRUE,FALSE,FALSE
AC090004.1,TRUE,FALSE,FALSE
AC091167.6,TRUE,FALSE,FALSE
AC092835.1,TRUE,FALSE,FALSE
AC093323.1,TRUE,FALSE,FALSE
AC096887.1,TRUE,FALSE,FALSE
AC098850.3,TRUE,FALSE,FALSE
AC099489.1,TRUE,FALSE,FALSE
AC104532.1,TRUE,FALSE,FALSE
AC114490.3,TRUE,FALSE,FALSE
AC119396.1,TRUE,FALSE,FALSE
AC124312.1,TRUE,FALSE,FALSE
ACAD8,TRUE,FALSE,FALSE
ACER1,TRUE,FALSE,FALSE
ACER3,TRUE,FALSE,FALSE
ACO1,TRUE,FALSE,FALSE
ACSL3,TRUE,FALSE,FALSE
ACTB,TRUE,FALSE,FALSE
ACTL10,TRUE,FALSE,FALSE
ACTL7A,TRUE,FALSE,FALSE
ACTR10,TRUE,FALSE,FALSE
ACTR2,TRUE,FALSE,FALSE
ACTR3,TRUE,FALSE,FALSE
ACTR5,TRUE,FALSE,FALSE
ACVR1,TRUE,FALSE,FALSE
ACVR1B,TRUE,FALSE,FALSE
ACVR1C,TRUE,FALSE,FALSE
ACVR2B,TRUE,FALSE,FALSE
ADA,TRUE,FALSE,FALSE
ADA2,TRUE,FALSE,FALSE
ADAM15,TRUE,FALSE,FALSE
ADAM9,TRUE,FALSE,FALSE
ADAMDEC1,TRUE,FALSE,FALSE
ADAMTS10,TRUE,FALSE,FALSE
ADAMTS3,TRUE,FALSE,FALSE
ADCK2,FALSE,FALSE,TRUE
ADCY1,TRUE,FALSE,FALSE
ADD3,TRUE,FALSE,FALSE
ADGRD1,TRUE,FALSE,FALSE
ADGRE1,TRUE,FALSE,FALSE
ADGRG3,TRUE,FALSE,FALSE
ADGRG5,TRUE,FALSE,FALSE
ADGRL1,TRUE,FALSE,FALSE
ADSS2,TRUE,FALSE,FALSE
AFAP1,TRUE,FALSE,FALSE
AFDN,TRUE,FALSE,FALSE
AFF2,TRUE,FALSE,FALSE
AFTPH,TRUE,FALSE,FALSE
AGAP3,TRUE,FALSE,FALSE
AGFG1,TRUE,FALSE,FALSE
AGFG2,TRUE,FALSE,FALSE
AGGF1,TRUE,FALSE,FALSE
AGL,TRUE,FALSE,FALSE
AGMO,TRUE,FALSE,FALSE
AGTPBP1,TRUE,FALSE,FALSE
AGXT,TRUE,FALSE,FALSE
AHDC1,TRUE,FALSE,FALSE
AHNAK,TRUE,FALSE,FALSE
AHRR,TRUE,FALSE,FALSE
AIG1,TRUE,FALSE,FALSE
AIPL1,TRUE,FALSE,FALSE
AJAP1,TRUE,FALSE,FALSE
AJM1,TRUE,FALSE,FALSE
