"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000134827",1.49405620187481,4.48665893166127,5.18157801072816,1.56817084610398e-06,0.0153926325676013,4.86455825951361,"TCN1"
"ENSG00000196415",2.33500098474239,1.47577764346806,5.16486634834573,1.67730549935723e-06,0.0153926325676013,4.15862529990049,"PRTN3"
"ENSG00000179869",1.37014927232044,2.83392890203509,4.90945368510951,4.63238559777394e-06,0.028340935087181,3.74256620927266,"ABCA13"
"ENSG00000102837",3.02884704801837,3.20670738838324,4.82268759099873,6.50552942236702e-06,0.0298506217545311,3.48581807818395,"OLFM4"
"ENSG00000028277",-0.754729966690014,5.53202832199487,-4.7140573962859,9.91090680114717e-06,0.036380956685651,3.25249975470121,"POU2F2"
"ENSG00000123689",1.77332923953324,3.03793565509231,4.64283591974624,1.30273685746281e-05,0.0398507204697873,2.90373906919931,"G0S2"
"ENSG00000169397",1.70737711187152,3.60279564049706,4.5143282639101,2.1221348586325e-05,0.0512151099256623,2.52267270648971,"RNASE3"
"ENSG00000100448",2.10670402132303,1.1454555045165,4.45580836299138,2.64393303553112e-05,0.0512151099256623,1.87778424934138,"CTSG"
"ENSG00000286522",1.52681246814108,6.47105067584324,4.44966082072226,2.70546791984681e-05,0.0512151099256623,2.33215114601407,"H3C2"
"ENSG00000198829",1.32784293147939,0.713523500218602,4.44139402494475,2.7904059020193e-05,0.0512151099256623,1.53150768991792,"SUCNR1"
"ENSG00000118113",2.94052333117355,5.16026745594713,4.32374343064742,4.31797753515508e-05,0.0613362332173222,1.91604347099294,"MMP8"
"ENSG00000204388",1.15935317996692,4.58231839171805,4.29038192101156,4.8814336392841e-05,0.0613362332173222,1.82679910401308,"HSPA1B"
"ENSG00000273983",1.28830843337722,2.55247437779217,4.27513765905425,5.16193389635424e-05,0.0613362332173222,1.62371989165163,"H3C8"
"ENSG00000124469",1.33945354265234,4.11336275468764,4.26930543798735,5.27331101510296e-05,0.0613362332173222,1.75057704565864,"CEACAM8"
"ENSG00000186599",3.04808602972623,-1.98048339367899,4.25249859426938,5.60739155647844e-05,0.0613362332173222,-0.59840227201741,"DEFB105B"
"ENSG00000267168",2.64684849753046,-1.56263450298255,4.24298808051359,5.80538880097672e-05,0.0613362332173222,-0.304960089103123,"AC005837.2"
"ENSG00000272398",1.32323610886079,4.85487610375435,4.23513861914921,5.97386815921899e-05,0.0613362332173222,1.64903731197246,"CD24"
"ENSG00000088325",1.11514509790897,1.20890602594401,4.23324002046023,6.01532198927645e-05,0.0613362332173222,1.08583170288504,"TPX2"
"ENSG00000203811",0.992784859820681,3.77266485883648,4.12202562227728,8.99229996183389e-05,0.0791116320759137,1.2710916375024,"H3C14"
"ENSG00000203852",0.992784859820681,3.77266485883648,4.12202562227728,8.99229996183389e-05,0.0791116320759137,1.2710916375024,"H3C15"
"ENSG00000149516",1.32824994074151,4.12053517850635,4.12019131118051,9.05167415056221e-05,0.0791116320759137,1.27326895310758,"MS4A3"
"ENSG00000139572",1.80869570484959,3.63573352144233,4.08684533566476,0.000101990937293386,0.0820274643397199,1.16071978954969,"GPR84"
"ENSG00000184357",1.36019588765996,5.55358544798933,4.08465595751531,0.000102791308696391,0.0820274643397199,1.17033802099162,"H1-5"
"ENSG00000134070",0.753838243234225,2.23520116436937,4.05919730090403,0.000112552797166309,0.0860747516329348,0.944949334147606,"IRAK2"
"ENSG00000138744",-0.763986624341688,5.87299246711609,-3.99548902633941,0.00014103726533357,0.103543918717294,0.893375454469507,"NAAA"
"ENSG00000137331",0.853291525357541,5.11413945282576,3.89866989106792,0.000197931044524868,0.134307809350499,0.594047165051737,"IER3"
"ENSG00000115602",0.978225231588626,3.74966221444517,3.88409108411289,0.00020820608901054,0.134307809350499,0.542454814804484,"IL1RL1"
"ENSG00000276368",1.49797315119453,5.7890546247977,3.88347652220408,0.000208650245922761,0.134307809350499,0.546503237165648,"H2AC14"
"ENSG00000096006",1.80743390277449,3.6855607078116,3.85947046562493,0.000226726618872473,0.134307809350499,0.462835606685181,"CRISP3"
"ENSG00000122986",-0.544809349008728,5.28293759598762,-3.85445857223446,0.000230684969211032,0.134307809350499,0.459161658748616,"HVCN1"
"ENSG00000012223",1.82776020678661,5.4437507387017,3.85240147644879,0.000232328689994667,0.134307809350499,0.451376719159806,"LTF"
"ENSG00000064201",-0.435610267372543,5.57268824799763,-3.85012072095636,0.000234164209393917,0.134307809350499,0.445935059652745,"TSPAN32"
"ENSG00000173391",0.504803770943945,3.72821431998545,3.83160383931538,0.000249587888970312,0.13881624588367,0.384226368771884,"OLR1"
"ENSG00000100079",-2.11074605375029,1.50786020182605,-3.82173198723326,0.000258202501199431,0.139383785500422,-0.211291907296113,"LGALS2"
