gene_id,gene_name,chr,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000000003,TSPAN6,X,0.259145163,3.080505613,2.662132958,0.008807446,0.171060168,-2.675809412
ENSG00000000005,TNMD,X,0.052767182,-2.263756067,0.131709273,0.895430465,0.976452712,-5.035872897
ENSG00000000419,DPM1,20,-0.064606263,4.33003029,-0.47983014,0.632204344,0.900894364,-5.913819456
ENSG00000000457,SCYL3,1,-0.051929543,4.293155512,-0.567189655,0.571623906,0.881286218,-5.868617238
ENSG00000000460,C1orf112,1,0.054536216,3.88925661,0.665590909,0.50692474,0.852804461,-5.772881865
ENSG00000000938,FGR,1,0.194535956,8.907221194,1.313011043,0.191635098,0.632899096,-5.122491608
ENSG00000000971,CFH,1,-0.09743384,1.947976448,-0.563394631,0.574196678,0.882194661,-5.535887144
ENSG00000001036,FUCA2,6,-0.098912009,5.251285019,-1.41189746,0.160516909,0.596657831,-5.132481865
ENSG00000001084,GCLC,6,-0.268097214,4.826707979,-1.922075281,0.056920007,0.388649922,-4.330421073
ENSG00000001167,NFYA,6,-0.207601229,4.940421569,-1.929279693,0.056010311,0.387198965,-4.318065582
ENSG00000001460,STPG1,1,0.13579931,3.293010274,1.394399093,0.165722477,0.602661813,-4.997528837
ENSG00000001461,NIPAL3,1,-0.064892267,4.648621212,-0.884263192,0.378287501,0.784111962,-5.676879475
ENSG00000001497,LAS1L,X,-0.031653095,2.307264194,-0.175362162,0.861084787,0.969028577,-5.714861859
ENSG00000001561,ENPP4,6,0.835235497,3.234620264,3.559381826,0.00053004,0.051284396,-0.289842164
ENSG00000001617,SEMA3F,3,0.434694837,0.269709244,0.930462555,0.353962829,0.767708854,-4.995856089
ENSG00000001626,CFTR,7,-0.078410251,6.981180229,-0.692974257,0.489638249,0.84367999,-5.814352089
ENSG00000001629,ANKIB1,7,0.156553837,5.872786904,1.783448019,0.076991217,0.443533207,-4.579182215
ENSG00000001630,CYP51A1,7,0.634406044,3.234073416,3.475629397,0.000705791,0.05751958,-0.537207034
ENSG00000001631,KRIT1,7,0.103044398,5.834972332,0.975572404,0.331200202,0.750382485,-5.62680382
ENSG00000002016,RAD52,12,0.017975826,4.949160781,0.170994536,0.864510363,0.969723629,-6.051846455
ENSG00000002330,BAD,11,-0.051948822,5.036460561,-0.459393566,0.646766277,0.905035102,-5.968432641
ENSG00000002549,LAP3,4,-0.602524864,4.486112206,-2.804864815,0.005856626,0.146447558,-2.406289111
ENSG00000002586,CD99,X,-0.115951067,5.924486354,-0.961749724,0.338071108,0.756794378,-5.640524252
ENSG00000002587,HS3ST1,4,-0.393282556,1.087962307,-1.529145859,0.128808089,0.551725474,-4.520164987
