"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000171865",-0.388570797157493,7.57996423328572,-6.50348655889381,2.53415909057218e-10,2.2609268829695e-06,13.0585247830885,"RNASEH1"
"ENSG00000128908",-0.254277653734077,6.84965593275607,-6.39321131295389,4.87472203293958e-10,2.2609268829695e-06,12.4433041108685,"INO80"
"ENSG00000140379",0.853645906759152,6.87854576368195,6.34880173895005,6.33550343178705e-10,2.2609268829695e-06,12.1969588736694,"BCL2A1"
"ENSG00000090581",-0.248410253085401,8.42259554115094,-6.33548269200176,6.8424812982356e-10,2.2609268829695e-06,12.1245691183025,"GNPTG"
"ENSG00000156983",-0.200346955257332,8.51668526914285,-6.13547141944074,2.17536721092703e-09,5.42416562333368e-06,11.0381853722023,"BRPF1"
"ENSG00000105887",0.287358261538438,9.79743896719856,6.11374548836339,2.46235860936688e-09,5.42416562333368e-06,10.9218704204075,"MTPN"
"ENSG00000183495",-0.466841899938846,6.99273684722372,-6.01861923943626,4.21948389961093e-09,7.50409678634761e-06,10.416535335815,"EP400"
"ENSG00000183696",0.543060169344386,11.8548177847466,5.97037864337725,5.53477160223925e-09,7.50409678634761e-06,10.1621100120756,"UPP1"
"ENSG00000173914",-0.350312564631735,7.18598062833154,-5.94675145263865,6.3109156379965e-09,7.50409678634761e-06,10.0390425186947,"RBM4B"
"ENSG00000169375",-0.309533904905933,8.25713030111321,-5.93929500937761,6.57867380828301e-09,7.50409678634761e-06,10.0000893146621,"SIN3A"
"ENSG00000008324",-0.193660296227625,10.7544927546092,-5.93490184335103,6.74159092640118e-09,7.50409678634761e-06,9.97715773246351,"SS18L2"
"ENSG00000154710",0.575743539552149,5.95396765953369,5.93306797231323,6.81313168163511e-09,7.50409678634761e-06,9.96727899283308,"RABGEF1"
"ENSG00000088205",-0.392509695038044,8.31146609427494,-5.86155602321462,1.01211814592589e-08,9.7166792985374e-06,9.59636501649939,"DDX18"
"ENSG00000112592",-0.192339947114355,7.43534476986522,-5.85484863125316,1.05022832259009e-08,9.7166792985374e-06,9.56173648452226,"TBP"
"ENSG00000089737",-0.385072013686658,7.85924338593531,-5.84598434817801,1.10274789648227e-08,9.7166792985374e-06,9.51602263217126,"DDX24"
"ENSG00000170571",0.695625941348871,5.3321645041442,5.81193501076198,1.33038071777576e-08,1.0435320505211e-05,9.34028830097558,"EMB"
"ENSG00000163820",-0.269230225453128,6.77240755803774,-5.79647895519866,1.44667556556652e-08,1.0435320505211e-05,9.26177125243796,"FYCO1"
"ENSG00000127824",0.581505049775151,10.2086884561456,5.79068331495289,1.49432869102572e-08,1.0435320505211e-05,9.23146148337494,"TUBA4A"
"ENSG00000277149",-0.262669560181468,5.6518104988814,-5.78983805926644,1.50012173412279e-08,1.0435320505211e-05,9.22780076693583,"TYW1B"
"ENSG00000101452",-0.303482664648032,5.52554309394339,-5.76621616907083,1.70629544066847e-08,1.12760534196576e-05,9.10722809449375,"DHX35"
"ENSG00000166333",0.348347354305952,9.72237669709838,5.75037942644494,1.85972766129226e-08,1.17047716663332e-05,9.02662188615076,"ILK"
"ENSG00000134294",0.40702749232373,10.2541453457385,5.73687125418493,2.001162323393e-08,1.17454393503559e-05,8.95801314107979,"SLC38A2"
"ENSG00000076685",0.241591692551923,11.3408715603154,5.73297032228947,2.04392150305052e-08,1.17454393503559e-05,8.93822504058855,"NT5C2"
"ENSG00000132824",0.247012741004269,7.29462324644025,5.71639075095263,2.23580546269518e-08,1.23127670001842e-05,8.85424737794,"SERINC3"
"ENSG00000155629",0.674152670944707,9.13705486850943,5.70092197335241,2.43231114896151e-08,1.28591425823297e-05,8.7754563983731,"PIK3AP1"
"ENSG00000184270",0.788715246222327,5.84214793088949,5.68760825333894,2.6132404624226e-08,1.32843073814767e-05,8.70832470750933,"H2AC21"
"ENSG00000143771",0.42067734044293,10.8420096055418,5.67339269763897,2.81894340744221e-08,1.37992500059866e-05,8.63740059049418,"CNIH4"
"ENSG00000163221",0.680761504099237,12.9807035526011,5.65723132667148,3.07652788128443e-08,1.45223103596201e-05,8.55564537274075,"S100A12"
"ENSG00000170684",-0.331388092101403,7.01719153792184,-5.64127372120559,3.3487448728033e-08,1.52621934427039e-05,8.4763104452876,"ZNF296"
"ENSG00000163041",0.309575207405503,12.5436259570318,5.62428540147622,3.66697211238654e-08,1.61554568031376e-05,8.3914160526206,"H3-3A"
"ENSG00000132963",0.265436667044801,11.0710756305148,5.602733414717,4.11328974963815e-08,1.75372098777314e-05,8.28402449697312,"POMP"
"ENSG00000130755",0.295609210072142,13.0982333220216,5.58877299035035,4.43016394305359e-08,1.82979615110435e-05,8.21464542126111,"GMFG"
"ENSG00000132170",0.699534841929101,5.05630904265499,5.57877517335351,4.67461133329769e-08,1.84105760112592e-05,8.16447700744165,"PPARG"
"ENSG00000246705",0.388716353234489,11.3172955449596,5.57619103754158,4.73601864555354e-08,1.84105760112592e-05,8.15224134780043,"H2AJ"
"ENSG00000139323",0.308746789164013,8.07582482681402,5.56907078957694,4.91811057109545e-08,1.85721906909053e-05,8.11697860106503,"POC1B"
"ENSG00000136021",0.269032208938238,8.98749883065768,5.55391923659224,5.32855529922189e-08,1.95631987193932e-05,8.0420671183577,"SCYL2"
"ENSG00000127837",-0.307090977614056,6.53122778232076,-5.54356781418001,5.62793515222494e-08,2.01038970018803e-05,7.99098683741762,"AAMP"
"ENSG00000179950",-0.245819548064338,9.40252720636928,-5.5226744744368,6.28287477710136e-08,2.11702375278052e-05,7.88813056681343,"PUF60"
