"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000123689",1.91935049587635,3.03793565509231,5.5586138418911,3.27299561197439e-07,0.00600725614621779,6.21150711957041,"G0S2"
"ENSG00000139572",2.10040889118791,3.63573352144233,5.22676576535126,1.28051189925225e-06,0.0117512576994379,5.07482831756337,"GPR84"
"ENSG00000272414",0.714936468678321,3.45354157265433,5.02450916749345,2.88789981640858e-06,0.0176681710767877,4.33355330678757,"FAM47E-STBD1"
"ENSG00000176597",1.07918403562011,6.10388572463103,4.90813021000196,4.58010737342451e-06,0.0197039953567921,3.96657936807142,"B3GNT5"
"ENSG00000028277",-0.699006750117466,5.53202832199487,-4.86778202632988,5.36776597929392e-06,0.0197039953567921,3.83738967550366,"POU2F2"
"ENSG00000122986",-0.607136077590162,5.28293759598762,-4.78276322565096,7.4835078854446e-06,0.022892050621575,3.53650018610491,"HVCN1"
"ENSG00000138744",-0.805508811260712,5.87299246711609,-4.70284560416502,1.02002122499689e-05,0.0247538546069903,3.25543429503351,"NAAA"
"ENSG00000167604",0.587240319222047,5.15326184502389,4.6882794564348,1.07895192794989e-05,0.0247538546069903,3.20555158995901,"NFKBID"
"ENSG00000064201",-0.464701812681811,5.57268824799763,-4.58735283839913,1.58838952568341e-05,0.032392557060437,2.85609771984099,"TSPAN32"
"ENSG00000267168",2.65604595439815,-1.56263450298255,4.54117785306803,1.89308276020818e-05,0.0327661197458481,0.490033655278602,"AC005837.2"
"ENSG00000132003",0.712599110802393,2.50481828343309,4.53150317014458,1.96375349898839e-05,0.0327661197458481,2.55339903645321,"ZSWIM4"
"ENSG00000168026",0.652369818178586,5.32706694026693,4.46791237998913,2.49612452392515e-05,0.0365267507918256,2.44715896519093,"TTC21A"
"ENSG00000144655",0.867297340781993,5.16526148438142,4.45837522868779,2.58716225506011e-05,0.0365267507918256,2.41469905063466,"CSRNP1"
"ENSG00000173391",0.518230794077576,3.72821431998545,4.42019342865848,2.98490302359975e-05,0.0375378405634907,2.27142685794275,"OLR1"
"ENSG00000134070",0.732679687581409,2.23520116436937,4.41285772493024,3.06781959492405e-05,0.0375378405634907,2.11400298770396,"IRAK2"
"ENSG00000196415",1.85330266572955,1.47577764346806,4.35656666771558,3.78257917796822e-05,0.0397460956841231,1.75996840966469,"PRTN3"
"ENSG00000173846",0.713767381911479,5.6282743535534,4.35019835147299,3.87292033209744e-05,0.0397460956841231,2.05075618647839,"PLK3"
"ENSG00000130766",1.01200161119552,2.99918691613452,4.34845936306265,3.8979498872955e-05,0.0397460956841231,2.00420290363331,"SESN2"
"ENSG00000075399",0.775093414527738,5.46135044365157,4.29188768006487,4.80303791922477e-05,0.0463973462997113,1.8572510607032,"VPS9D1"
"ENSG00000102837",2.46350046837339,3.20670738838324,4.25157344957486,5.56850171423183e-05,0.0511021402315055,1.6819271892159,"OLFM4"
"ENSG00000102543",1.16381188120431,4.36621897552973,4.21717848779498,6.31343528463638e-05,0.0518793481166293,1.61086425568402,"CDADC1"
"ENSG00000099985",1.03556347595652,5.11480477448552,4.21158366773908,6.44335541190863e-05,0.0518793481166293,1.59323834283903,"OSM"
"ENSG00000100644",0.794071791353932,8.34555896847573,4.20912877686492,6.50117144318663e-05,0.0518793481166293,1.54067837785199,"HIF1A"
"ENSG00000137331",0.812197710898988,5.11413945282576,4.16681339252136,7.5799238501524e-05,0.0579674676440405,1.44729696072245,"IER3"
"ENSG00000158669",0.648928859073401,6.24160159148768,4.13369670533564,8.54240291638628e-05,0.0609373885329628,1.34005781812612,"GPAT4"
"ENSG00000095794",0.654771865613186,4.90722104294136,4.11804468414121,9.03723119729348e-05,0.0609373885329628,1.28934438323782,"CREM"
"ENSG00000128512",0.999190265387705,6.16534062206591,4.11432179410706,9.15892383138036e-05,0.0609373885329628,1.27780824127147,"DOCK4"
"ENSG00000118113",2.46626048656475,5.16026745594713,4.11017518882855,9.29632166788144e-05,0.0609373885329628,1.26392995614262,"MMP8"
"ENSG00000133597",-0.581144288419083,2.51933060810377,-4.08590661503477,0.000101410751096072,0.064182514676459,1.08532677689449,"ADCK2"
"ENSG00000188295",0.470237486878246,3.32651839011782,4.02857688259111,0.000124396002431472,0.0734559879874522,0.996354675101118,"ZNF669"
"ENSG00000196843",0.86698414614118,5.89403351629967,4.00268423318884,0.000136345500557024,0.0734559879874522,0.92246503854571,"ARID5A"
"ENSG00000185272",0.990713883037065,1.68106668272429,4.00019896786366,0.000137548686271204,0.0734559879874522,0.738890900612562,"RBM11"
"ENSG00000112799",-0.957406192493444,3.67601683869826,-3.99795588156447,0.000138643364064206,0.0734559879874522,0.895013670160153,"LY86"
"ENSG00000134827",1.06922845226851,4.48665893166127,3.99376359314116,0.000140711737477324,0.0734559879874522,0.894381282564266,"TCN1"
"ENSG00000163874",0.641405305054821,5.2947704460804,3.9915104838943,0.000141835559051357,0.0734559879874522,0.88502143997157,"ZC3H12A"
"ENSG00000173334",0.841430680108088,5.3364399791511,3.97063784547961,0.000152663896231845,0.0734559879874522,0.819652914494757,"TRIB1"
"ENSG00000100226",0.614293179519098,7.46364221001243,3.96524926092992,0.000155585535152658,0.0734559879874522,0.801733604688225,"GTPBP1"
"ENSG00000093010",-0.522041873917909,5.11939349890057,-3.9499381012156,0.000164182408997328,0.0734559879874522,0.754314830836224,"COMT"
"ENSG00000163959",0.796695760419074,6.90998850957927,3.94210141503394,0.000168756772733598,0.0734559879874522,0.734193223981325,"SLC51A"
"ENSG00000088970",-0.477502930357567,4.91856308769919,-3.93853804760526,0.000170876889614019,0.0734559879874522,0.718959382183359,"KIZ"
"ENSG00000188215",0.626762291267565,3.52231419418693,3.93742505053705,0.000171544307133642,0.0734559879874522,0.718350805126397,"DCUN1D3"
"ENSG00000079385",1.20788092720643,7.51307844989905,3.92651939320041,0.000178217397507995,0.0734559879874522,0.681902388707065,"CEACAM1"
"ENSG00000109321",1.38788172914735,0.932282315237024,3.90783666895854,0.000190230606004896,0.0734559879874522,0.377514134729124,"AREG"
"ENSG00000133116",0.982344863336864,1.43348611565359,3.90762744461129,0.000190369429354649,0.0734559879874522,0.393778340757723,"KL"
