geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0051707	response to other organism	http://amigo.geneontology.org/amigo/term/GO:0051707	847	4	0.5986634967551243	6.681549855103574	0.002112615063132983	1	912;1312;9450;10077	ENSG00000112799;ENSG00000158473;ENSG00000093010;ENSG00000064201
GO:0043207	response to external biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0043207	848	4	0.5993703013557797	6.6736706689536875	0.002121838548413968	1	912;1312;9450;10077	ENSG00000112799;ENSG00000158473;ENSG00000093010;ENSG00000064201
GO:0009607	response to biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009607	875	4	0.6184540255734755	6.4677402597402605	0.0023817434373709645	1	912;1312;9450;10077	ENSG00000112799;ENSG00000158473;ENSG00000093010;ENSG00000064201
GO:0002831	regulation of response to biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0002831	127	2	0.08976418428323588	22.280601288475307	0.003462923383532601	1	9450;10077	ENSG00000112799;ENSG00000064201
GO:0048006	antigen processing and presentation, endogenous lipid antigen via MHC class Ib	http://amigo.geneontology.org/amigo/term/GO:0048006	5	1	0.003534023003277003	282.9636363636364	0.0035294837672414925	1	912	ENSG00000158473
GO:0033239	negative regulation of cellular amine metabolic process	http://amigo.geneontology.org/amigo/term/GO:0033239	6	1	0.004240827603932404	235.80303030303028	0.004234020062302446	1	1312	ENSG00000093010
GO:0048003	antigen processing and presentation of lipid antigen via MHC class Ib	http://amigo.geneontology.org/amigo/term/GO:0048003	7	1	0.004947632204587805	202.11688311688312	0.00493810348322643	1	912	ENSG00000158473
GO:0048007	antigen processing and presentation, exogenous lipid antigen via MHC class Ib	http://amigo.geneontology.org/amigo/term/GO:0048007	7	1	0.004947632204587805	202.11688311688312	0.00493810348322643	1	912	ENSG00000158473
GO:0030885	regulation of myeloid dendritic cell activation	http://amigo.geneontology.org/amigo/term/GO:0030885	7	1	0.004947632204587805	202.11688311688312	0.00493810348322643	1	10077	ENSG00000064201
GO:0042420	dopamine catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042420	7	1	0.004947632204587805	202.11688311688312	0.00493810348322643	1	1312	ENSG00000093010
GO:0002252	immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002252	1097	4	0.7753646469189746	5.158863014833844	0.005423341179111585	1	912;5452;10077;84329	ENSG00000158473;ENSG00000028277;ENSG00000122986;ENSG00000064201
GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0031666	8	1	0.005654436805243205	176.85227272727272	0.005641734292025857	1	9450	ENSG00000112799
GO:0019614	catechol-containing compound catabolic process	http://amigo.geneontology.org/amigo/term/GO:0019614	8	1	0.005654436805243205	176.85227272727272	0.005641734292025857	1	1312	ENSG00000093010
GO:0042424	catecholamine catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042424	8	1	0.005654436805243205	176.85227272727272	0.005641734292025857	1	1312	ENSG00000093010
GO:0045321	leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0045321	1139	4	0.8050504401465013	4.968632771969032	0.006205456308066015	1	912;5452;10077;84329	ENSG00000158473;ENSG00000028277;ENSG00000122986;ENSG00000064201
