geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1837	18	5.193600205615884	3.4658039293314196	9.032633890848629e-7	0.0053170218586474265	634;660;1511;3656;4317;4973;5008;5657;6947;7128;9567;10321;10562;10865;53831;80149;84807;245908	ENSG00000173391;ENSG00000167604;ENSG00000100226;ENSG00000163874;ENSG00000134070;ENSG00000118503;ENSG00000196843;ENSG00000099985;ENSG00000134827;ENSG00000102010;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113;ENSG00000186599
GO:0002366	leukocyte activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002366	666	11	1.8829274561459872	5.841966966966967	1.7114127099926435e-6	0.0053170218586474265	634;1511;4317;4973;5657;6947;10321;10562;53831;80149;84807	ENSG00000173391;ENSG00000167604;ENSG00000163874;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0002263	cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002263	669	11	1.891409111353852	5.8157698056801195	1.7880355986932273e-6	0.0053170218586474265	634;1511;4317;4973;5657;6947;10321;10562;53831;80149;84807	ENSG00000173391;ENSG00000167604;ENSG00000163874;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:1902106	negative regulation of leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:1902106	88	5	0.24879521943070101	20.09684917355372	4.704176189029852e-6	0.007146174767221992	634;2200;10221;80149;84807	ENSG00000167604;ENSG00000163874;ENSG00000173334;ENSG00000166147;ENSG00000079385
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	476	9	1.3457559596478827	6.687690985485103	5.935952616997753e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831	ENSG00000173391;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	479	9	1.3542376148557476	6.645805655722149	6.245532334414605e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831	ENSG00000173391;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	622	10	1.7585298464306367	5.68656825489623	7.012291702190865e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831;80149	ENSG00000173391;ENSG00000163874;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	488	9	1.379682580479342	6.52323956780924	7.2590054639443125e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831	ENSG00000173391;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	490	9	1.3853370172845854	6.496614100185528	7.502469752562746e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831	ENSG00000173391;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	494	9	1.3966458908950716	6.44400993743099	8.01050865062436e-6	0.007146174767221992	634;1511;4317;4973;5657;6947;10321;10562;53831	ENSG00000173391;ENSG00000134827;ENSG00000079385;ENSG00000096006;ENSG00000100448;ENSG00000196415;ENSG00000139572;ENSG00000102837;ENSG00000118113
