geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1837	14	2.1246546295701343	6.589306236012823	1.8782553290463966e-10	1.3963263158685751e-7	932;1088;1511;3656;4317;5657;6037;6947;10562;53831;56670;154664;245908;100133941	ENSG00000186599;ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829;ENSG00000272398;ENSG00000134070
GO:0001775	cell activation	http://amigo.geneontology.org/amigo/term/GO:0001775	1283	12	1.4839041315941657	8.086775786	1.0902727609618523e-9	6.947373786100489e-7	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664;100133941	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829;ENSG00000272398
GO:0045321	leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0045321	1139	12	1.3173552656942749	9.109160081943225	2.742717164494479e-10	1.882136909573481e-7	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664;100133941	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829;ENSG00000272398
GO:0002443	leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002443	740	10	0.8558761164299943	11.683933933933933	1.721241371654969e-9	1.0236796184355986e-6	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0002263	cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002263	669	11	0.7737582728265759	14.216326191662512	2.0648482923490974e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829
GO:0002366	leukocyte activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002366	666	11	0.7702885047869948	14.280363697030364	1.9670487461098674e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	622	11	0.719398574	15.29055019649875	9.395151323587925e-12	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829
GO:0002444	myeloid leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002444	538	10	0.6222450684315364	16.070838496489053	7.652911637734405e-11	6.206511338202603e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	519	10	0.600269871	16.65917362449154	5.374078959619055e-11	4.7942158398761596e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	494	10	0.5713551371843475	17.502249212775528	3.305145046539337e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	490	10	0.5667287797982394	17.645124716553287	3.05062641814402e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	488	10	0.5644156011051854	17.717440801457194	2.9300784021302206e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	529	11	0.6118357643127932	17.978680949380383	1.6202594821379535e-12	1.4454334840152683e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;56670;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516;ENSG00000198829
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	479	10	0.5540062969864422	18.05033634887497	2.4386492825101413e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	476	10	0.5505365289468612	18.16409897	2.2920776387991282e-11	3.276133217797492e-8	932;1088;1511;4317;5657;6037;6947;10562;53831;154664	ENSG00000102837;ENSG00000118113;ENSG00000196415;ENSG00000100448;ENSG00000139572;ENSG00000169397;ENSG00000134827;ENSG00000179869;ENSG00000124469;ENSG00000149516
