geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002250	adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	358	63	31.49148621731029	2.000540703771868	7.004770141705308e-8	6.248955443415305e-4	100;246;710;717;911;913;915;916;917;919;920;923;926;940;959;972;2208;2213;2534;2625;3077;3134;3458;3553;3575;3594;3702;4049;4063;4068;5027;5452;5588;5590;5896;6095;6504;6693;6891;7158;7535;8320;8631;9466;10068;10332;10384;10747;11024;11118;11119;11277;23180;27074;30009;51176;51561;51744;54923;55061;91543;170482;100528032	ENSG00000149131;ENSG00000158488;ENSG00000158481;ENSG00000111801;ENSG00000134321;ENSG00000143502;ENSG00000167286;ENSG00000166349;ENSG00000122223;ENSG00000198178;ENSG00000163508;ENSG00000198851;ENSG00000110944;ENSG00000213689;ENSG00000115085;ENSG00000111537;ENSG00000226979;ENSG00000104921;ENSG00000161905;ENSG00000026950;ENSG00000073861;ENSG00000138795;ENSG00000107485;ENSG00000183918;ENSG00000178562;ENSG00000186470;ENSG00000198821;ENSG00000028277;ENSG00000160654;ENSG00000172116;ENSG00000089041;ENSG00000141293;ENSG00000067369;ENSG00000010704;ENSG00000122224;ENSG00000125538;ENSG00000203896;ENSG00000131378;ENSG00000196839;ENSG00000019582;ENSG00000204267;ENSG00000104938;ENSG00000069667;ENSG00000168685;ENSG00000117090;ENSG00000213809;ENSG00000113263;ENSG00000104974;ENSG00000102245;ENSG00000065675;ENSG00000013725;ENSG00000078081;ENSG00000204642;ENSG00000010610;ENSG00000010810;ENSG00000067606;ENSG00000137496;ENSG00000104998;ENSG00000072694;ENSG00000166278;ENSG00000197471;ENSG00000009724;ENSG00000096996
GO:0042110	T cell activation	http://amigo.geneontology.org/amigo/term/GO:0042110	423	70	37.20921416	1.8812544574476717	1.615409952471225e-7	7.2055360929979e-4	100;911;914;915;916;917;920;921;923;926;940;944;959;972;1803;1947;2213;2534;2615;2625;2648;3077;3109;3111;3115;3458;3553;3575;3594;3683;3702;3707;3932;3955;4004;4063;4088;4773;5027;5075;5588;5590;5896;6095;6659;6693;6932;7535;8320;8600;8740;9093;9840;10385;11119;11277;23598;30009;51176;51561;57178;57864;64919;80380;84433;84941;91543;126259;146850;100528032	ENSG00000166407;ENSG00000158481;ENSG00000198286;ENSG00000134321;ENSG00000167286;ENSG00000166349;ENSG00000119457;ENSG00000127152;ENSG00000163508;ENSG00000198851;ENSG00000197635;ENSG00000110944;ENSG00000213689;ENSG00000115085;ENSG00000197646;ENSG00000125813;ENSG00000242574;ENSG00000111537;ENSG00000026950;ENSG00000073861;ENSG00000182866;ENSG00000138795;ENSG00000107485;ENSG00000178562;ENSG00000137507;ENSG00000116824;ENSG00000101096;ENSG00000110448;ENSG00000160654;ENSG00000100105;ENSG00000135426;ENSG00000172116;ENSG00000089041;ENSG00000010704;ENSG00000122224;ENSG00000196684;ENSG00000124766;ENSG00000125538;ENSG00000196839;ENSG00000019582;ENSG00000120659;ENSG00000069667;ENSG00000108773;ENSG00000081059;ENSG00000168685;ENSG00000090776;ENSG00000124508;ENSG00000106003;ENSG00000213809;ENSG00000113263;ENSG00000102245;ENSG00000065675;ENSG00000167664;ENSG00000013725;ENSG00000106952;ENSG00000010610;ENSG00000166949;ENSG00000010810;ENSG00000005844;ENSG00000067606;ENSG00000143772;ENSG00000276231;ENSG00000125735;ENSG00000204252;ENSG00000072694;ENSG00000223865;ENSG00000108175;ENSG00000197471;ENSG00000096996;ENSG00000103423
GO:0030217	T cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030217	220	43	19.35230996594487	2.2219569692542667	4.693581900916399e-7	0.001395715	100;914;915;916;917;920;940;944;972;2625;2648;3111;3458;3575;3594;3702;3707;3932;3955;4063;4773;5075;5590;5896;6095;6659;6693;6932;7535;8320;9093;9840;10385;23598;30009;51176;51561;57178;57864;64919;84433;91543;146850	ENSG00000198286;ENSG00000134321;ENSG00000167286;ENSG00000166349;ENSG00000119457;ENSG00000127152;ENSG00000163508;ENSG00000198851;ENSG00000110944;ENSG00000115085;ENSG00000125813;ENSG00000111537;ENSG00000073861;ENSG00000182866;ENSG00000138795;ENSG00000107485;ENSG00000178562;ENSG00000116824;ENSG00000101096;ENSG00000160654;ENSG00000100105;ENSG00000135426;ENSG00000122224;ENSG00000124766;ENSG00000196839;ENSG00000019582;ENSG00000069667;ENSG00000108773;ENSG00000081059;ENSG00000168685;ENSG00000124508;ENSG00000106003;ENSG00000113263;ENSG00000106952;ENSG00000010610;ENSG00000067606;ENSG00000143772;ENSG00000276231;ENSG00000204252;ENSG00000108175;ENSG00000197471;ENSG00000096996;ENSG00000103423
GO:0030098	lymphocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0030098	314	54	27.621024224121314	1.9550324984995324	1.2565096131345044e-6	0.002514081	100;914;915;916;917;920;940;944;959;972;2213;2323;2625;2648;3111;3458;3575;3594;3702;3707;3932;3955;4063;4242;4773;4914;5075;5452;5590;5896;6095;6659;6693;6932;7301;7535;8320;9093;9734;9840;10385;23598;30009;51176;51561;54106;55619;55846;57178;57864;64919;84433;91543;146850	ENSG00000198286;ENSG00000134321;ENSG00000167286;ENSG00000166349;ENSG00000119457;ENSG00000127152;ENSG00000163508;ENSG00000198851;ENSG00000110944;ENSG00000115085;ENSG00000198400;ENSG00000125813;ENSG00000111537;ENSG00000073861;ENSG00000182866;ENSG00000138795;ENSG00000107485;ENSG00000178562;ENSG00000116824;ENSG00000101096;ENSG00000048052;ENSG00000028277;ENSG00000160654;ENSG00000100105;ENSG00000135426;ENSG00000239732;ENSG00000122224;ENSG00000124766;ENSG00000196839;ENSG00000111203;ENSG00000019582;ENSG00000069667;ENSG00000108773;ENSG00000081059;ENSG00000168685;ENSG00000124508;ENSG00000106003;ENSG00000113263;ENSG00000090554;ENSG00000102245;ENSG00000106952;ENSG00000135905;ENSG00000010610;ENSG00000067606;ENSG00000143772;ENSG00000276231;ENSG00000100060;ENSG00000204252;ENSG00000072694;ENSG00000108175;ENSG00000197471;ENSG00000096996;ENSG00000103423;ENSG00000092445
GO:0050852	T cell receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0050852	141	31	12.403071387264667	2.4993809220376213	1.4090801307986567e-6	0.002514081	100;696;778;784;915;916;917;919;920;940;2534;2625;2633;3115;3122;3702;3932;5335;5588;7535;8631;8891;9840;10384;10385;11118;11119;23180;53347;54923;84433	ENSG00000111801;ENSG00000198286;ENSG00000160185;ENSG00000167286;ENSG00000124557;ENSG00000198851;ENSG00000115085;ENSG00000117228;ENSG00000026950;ENSG00000182866;ENSG00000107485;ENSG00000178562;ENSG00000186470;ENSG00000198821;ENSG00000160654;ENSG00000135426;ENSG00000141293;ENSG00000204287;ENSG00000203896;ENSG00000131378;ENSG00000196839;ENSG00000124181;ENSG00000124508;ENSG00000113263;ENSG00000065675;ENSG00000102001;ENSG00000010610;ENSG00000010810;ENSG00000223865;ENSG00000070785;ENSG00000167535
GO:0045058	T cell selection	http://amigo.geneontology.org/amigo/term/GO:0045058	48	16	4.222322174387972	3.7893839785731673	1.757793814283204e-6	0.002613546	915;916;917;920;940;972;2625;3594;3707;4063;6693;7535;30009;51561;64919;84433	ENSG00000198286;ENSG00000167286;ENSG00000127152;ENSG00000198851;ENSG00000110944;ENSG00000115085;ENSG00000073861;ENSG00000107485;ENSG00000178562;ENSG00000160654;ENSG00000122224;ENSG00000019582;ENSG00000010610;ENSG00000143772;ENSG00000197471;ENSG00000096996
GO:0007411	axon guidance	http://amigo.geneontology.org/amigo/term/GO:0007411	249	45	21.903296279637605	2.054485289587862	2.457262939348226e-6	0.003063156	1436;1600;1808;1944;1945;1947;1951;2047;2048;2253;2534;2596;2625;2817;3800;3908;4147;4914;4917;5335;5361;5362;5458;5588;5623;5727;5800;7869;9241;9252;10371;10417;10505;10507;11041;11127;23654;51332;51466;53358;54910;55740;57643;64919;374946	ENSG00000143590;ENSG00000154928;ENSG00000172020;ENSG00000183691;ENSG00000173406;ENSG00000162415;ENSG00000127152;ENSG00000063660;ENSG00000133216;ENSG00000162068;ENSG00000198400;ENSG00000075213;ENSG00000243364;ENSG00000148082;ENSG00000114554;ENSG00000076356;ENSG00000107485;ENSG00000012171;ENSG00000196569;ENSG00000151615;ENSG00000137877;ENSG00000151490;ENSG00000008300;ENSG00000159674;ENSG00000174684;ENSG00000196405;ENSG00000182578;ENSG00000168280;ENSG00000196576;ENSG00000124181;ENSG00000100784;ENSG00000090776;ENSG00000185920;ENSG00000131437;ENSG00000065675;ENSG00000154380;ENSG00000135622;ENSG00000010810;ENSG00000132561;ENSG00000168758;ENSG00000107831;ENSG00000092964;ENSG00000125650;ENSG00000187764;ENSG00000162490
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	250	45	21.99126132493735	2.0462673484295104	2.7469172906302575e-6	0.003063156	1436;1600;1808;1944;1945;1947;1951;2047;2048;2253;2534;2596;2625;2817;3800;3908;4147;4914;4917;5335;5361;5362;5458;5588;5623;5727;5800;7869;9241;9252;10371;10417;10505;10507;11041;11127;23654;51332;51466;53358;54910;55740;57643;64919;374946	ENSG00000143590;ENSG00000154928;ENSG00000172020;ENSG00000183691;ENSG00000173406;ENSG00000162415;ENSG00000127152;ENSG00000063660;ENSG00000133216;ENSG00000162068;ENSG00000198400;ENSG00000075213;ENSG00000243364;ENSG00000148082;ENSG00000114554;ENSG00000076356;ENSG00000107485;ENSG00000012171;ENSG00000196569;ENSG00000151615;ENSG00000137877;ENSG00000151490;ENSG00000008300;ENSG00000159674;ENSG00000174684;ENSG00000196405;ENSG00000182578;ENSG00000168280;ENSG00000196576;ENSG00000124181;ENSG00000100784;ENSG00000090776;ENSG00000185920;ENSG00000131437;ENSG00000065675;ENSG00000154380;ENSG00000135622;ENSG00000010810;ENSG00000132561;ENSG00000168758;ENSG00000107831;ENSG00000092964;ENSG00000125650;ENSG00000187764;ENSG00000162490
GO:0046649	lymphocyte activation	http://amigo.geneontology.org/amigo/term/GO:0046649	613	87	53.92257276874639	1.6134244998492604	4.830165705849154e-6	0.004787768	100;643;911;914;915;916;917;920;921;923;926;940;944;959;972;1141;1803;1947;2047;2213;2323;2534;2615;2625;2648;3077;3109;3111;3115;3458;3553;3575;3594;3683;3702;3707;3932;3955;4004;4063;4088;4242;4773;4914;5027;5075;5452;5588;5590;5896;6095;6504;6659;6693;6932;7158;7301;7535;8320;8600;8740;9093;9466;9734;9840;10385;11119;11277;23598;30009;51176;51561;51744;54106;55619;55846;57178;57864;64919;80380;84433;84941;91543;126259;146850;259197;100528032	ENSG00000166407;ENSG00000158481;ENSG00000198286;ENSG00000154928;ENSG00000134321;ENSG00000167286;ENSG00000166349;ENSG00000122223;ENSG00000119457;ENSG00000127152;ENSG00000163508;ENSG00000198851;ENSG00000197635;ENSG00000110944;ENSG00000213689;ENSG00000115085;ENSG00000198400;ENSG00000197646;ENSG00000125813;ENSG00000242574;ENSG00000111537;ENSG00000160683;ENSG00000026950;ENSG00000073861;ENSG00000182866;ENSG00000138795;ENSG00000107485;ENSG00000178562;ENSG00000137507;ENSG00000116824;ENSG00000101096;ENSG00000110448;ENSG00000048052;ENSG00000028277;ENSG00000160654;ENSG00000100105;ENSG00000135426;ENSG00000172116;ENSG00000089041;ENSG00000239732;ENSG00000067369;ENSG00000010704;ENSG00000122224;ENSG00000196684;ENSG00000124766;ENSG00000125538;ENSG00000196839;ENSG00000111203;ENSG00000019582;ENSG00000120659;ENSG00000069667;ENSG00000108773;ENSG00000081059;ENSG00000168685;ENSG00000090776;ENSG00000204475;ENSG00000124508;ENSG00000106003;ENSG00000117090;ENSG00000213809;ENSG00000113263;ENSG00000090554;ENSG00000102245;ENSG00000065675;ENSG00000167664;ENSG00000013725;ENSG00000106952;ENSG00000135905;ENSG00000160716;ENSG00000010610;ENSG00000166949;ENSG00000010810;ENSG00000005844;ENSG00000067606;ENSG00000143772;ENSG00000276231;ENSG00000125735;ENSG00000100060;ENSG00000204252;ENSG00000104998;ENSG00000072694;ENSG00000223865;ENSG00000108175;ENSG00000197471;ENSG00000096996;ENSG00000103423;ENSG00000092445
GO:0098609	cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0098609	734	100	64.56634325001606	1.5487945416511586	5.842668147737484e-6	0.00520118	90;100;246;288;421;914;916;920;921;923;940;959;972;1365;1524;1600;1741;1803;1832;1947;1951;2213;2534;2615;2625;3077;3109;3115;3384;3458;3553;3575;3594;3678;3681;3683;3695;3707;3875;3932;4771;4838;4856;4867;5588;5590;5896;6614;6693;7042;7060;7301;7369;7477;7535;8600;8631;8642;8740;9093;9314;9620;9780;9840;10332;10385;10507;22859;22997;23654;25945;30009;51176;51294;51561;53841;54413;54751;55333;56102;56103;56106;56109;56143;57178;57463;57669;58494;64072;80139;80380;83872;84433;91179;126259;137075;146850;257194;389118;100528032	ENSG00000177707;ENSG00000136999;ENSG00000169344;ENSG00000088827;ENSG00000198286;ENSG00000139626;ENSG00000080854;ENSG00000173406;ENSG00000166349;ENSG00000113296;ENSG00000244486;ENSG00000099834;ENSG00000198851;ENSG00000188064;ENSG00000181754;ENSG00000197635;ENSG00000110944;ENSG00000115085;ENSG00000099889;ENSG00000197646;ENSG00000262209;ENSG00000075275;ENSG00000168329;ENSG00000253958;ENSG00000187492;ENSG00000242574;ENSG00000111537;ENSG00000253910;ENSG00000161905;ENSG00000096696;ENSG00000073861;ENSG00000182866;ENSG00000138795;ENSG00000107485;ENSG00000178562;ENSG00000143341;ENSG00000082458;ENSG00000092969;ENSG00000008300;ENSG00000137507;ENSG00000116824;ENSG00000110448;ENSG00000162458;ENSG00000135426;ENSG00000103335;ENSG00000107736;ENSG00000115109;ENSG00000113555;ENSG00000141293;ENSG00000010704;ENSG00000125538;ENSG00000156574;ENSG00000196839;ENSG00000196576;ENSG00000253846;ENSG00000019582;ENSG00000104938;ENSG00000120659;ENSG00000168685;ENSG00000151150;ENSG00000090776;ENSG00000183779;ENSG00000124508;ENSG00000136826;ENSG00000165215;ENSG00000115170;ENSG00000213809;ENSG00000204965;ENSG00000196338;ENSG00000213463;ENSG00000102245;ENSG00000065675;ENSG00000167664;ENSG00000013725;ENSG00000166341;ENSG00000010610;ENSG00000010810;ENSG00000005844;ENSG00000067606;ENSG00000156886;ENSG00000143772;ENSG00000276231;ENSG00000125735;ENSG00000072071;ENSG00000253731;ENSG00000072694;ENSG00000223865;ENSG00000161638;ENSG00000108175;ENSG00000144061;ENSG00000197471;ENSG00000108622;ENSG00000187764;ENSG00000186575;ENSG00000096996;ENSG00000103423;ENSG00000154721;ENSG00000172260;ENSG00000092445;ENSG00000111057
