Sepsis Patients -upregulated in dominance high group										
geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	476	28	5.321853113152991	5.26132522	5.166977956605479e-13	2.2704616409185976e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	479	28	5.355394204202274	5.228373287260337	6.021849685566849e-13	2.2704616409185976e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	488	28	5.456017477350125	5.131948370077257	9.465761507954085e-13	2.2704616409185976e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	490	28	5.478378204716314	5.111001642036125	1.0452749776845849e-12	2.2704616409185976e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	494	28	5.523099659448692	5.069617013	1.2725376308253544e-12	2.2704616409185976e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	519	28	5.802608751526055	4.825415808473413	4.171329948121638e-12	6.202072411198856e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	529	28	5.914412388	4.734198118332139	6.576073019459727e-12	8.380735343800031e-9	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002444	myeloid leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002444	538	28	6.015035661504851	4.655001496	9.816369939130709e-12	1.089814104392338e-8	178;671;1075;1536;1992;2821;3240;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000105220;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	622	30	6.9541862108847905	4.313948331300588	1.0994649635165388e-11	1.089814104392338e-8	178;671;1075;1536;1992;2821;3240;3586;3903;3934;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;8754;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000136634;ENSG00000105220;ENSG00000168615;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
GO:0002366	leukocyte activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002366	666	30	7.446122212940949	4.028942735839288	5.951839021633987e-11	5.30963559119968e-8	178;671;1075;1536;1992;2821;3240;3586;3903;3934;3956;4057;4317;4893;5223;5273;5337;5806;6037;6947;7226;10562;22875;23601;51316;53831;56729;79895;84061;353189	ENSG00000118113;ENSG00000148346;ENSG00000102837;ENSG00000104918;ENSG00000257017;ENSG00000139572;ENSG00000012223;ENSG00000134827;ENSG00000101425;ENSG00000145287;ENSG00000258227;ENSG00000242550;ENSG00000167613;ENSG00000163661;ENSG00000169397;ENSG00000001561;ENSG00000104043;ENSG00000165168;ENSG00000136634;ENSG00000105220;ENSG00000100097;ENSG00000021355;ENSG00000142185;ENSG00000173930;ENSG00000162688;ENSG00000109861;ENSG00000075651;ENSG00000213281;ENSG00000171314;ENSG00000102158
