geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1837	64	25.023710081603806	2.557574388102012	4.474198789239381e-13	3.991432739880452e-9	103;177;710;818;944;972;1232;2213;2215;2217;3109;3111;3113;3115;3119;3123;3133;3134;3437;3579;3669;3716;4155;4311;4600;4851;4938;5005;5293;5591;5610;6039;6773;6891;7297;9020;9466;10379;10384;10385;10507;10603;11118;11119;22861;23526;25865;27086;51191;51816;53347;54210;55072;64581;79908;81622;81844;83716;84329;84658;91543;170482;171389;100528032	ENSG00000169871;ENSG00000104998;ENSG00000162434;ENSG00000197971;ENSG00000180448;ENSG00000110057;ENSG00000105397;ENSG00000092098;ENSG00000204252;ENSG00000187764;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000093072;ENSG00000160999;ENSG00000213809;ENSG00000072694;ENSG00000223865;ENSG00000104870;ENSG00000160710;ENSG00000122986;ENSG00000103196;ENSG00000148660;ENSG00000105287;ENSG00000183486;ENSG00000170581;ENSG00000172243;ENSG00000213928;ENSG00000172183;ENSG00000124508;ENSG00000148400;ENSG00000204642;ENSG00000006062;ENSG00000113303;ENSG00000019582;ENSG00000180871;ENSG00000204267;ENSG00000106952;ENSG00000055332;ENSG00000169413;ENSG00000186470;ENSG00000228278;ENSG00000253729;ENSG00000124731;ENSG00000285708;ENSG00000196126;ENSG00000174885;ENSG00000231389;ENSG00000026950;ENSG00000160185;ENSG00000183625;ENSG00000091592;ENSG00000111801;ENSG00000138646;ENSG00000198178;ENSG00000242574;ENSG00000179344;ENSG00000162747;ENSG00000089127;ENSG00000119917;ENSG00000131355;ENSG00000134321;ENSG00000149131;ENSG00000196549
GO:0034340	response to type I interferon	http://amigo.geneontology.org/amigo/term/GO:0034340	75	13	1.0216539227655337	12.724465408805031	2.3168023055575304e-11	1.0334096683939364e-7	103;3133;3134;3437;3669;3716;4600;4938;6773;7297;10379;81844;91543	ENSG00000169871;ENSG00000162434;ENSG00000105397;ENSG00000204592;ENSG00000160710;ENSG00000183486;ENSG00000170581;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000089127;ENSG00000119917;ENSG00000134321
GO:0060337	type I interferon signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0060337	70	12	0.9535436612478314	12.584636118598382	1.589386400269177e-10	3.544729019200332e-7	103;3133;3134;3437;3669;3716;4600;4938;6773;7297;10379;91543	ENSG00000162434;ENSG00000105397;ENSG00000204592;ENSG00000160710;ENSG00000183486;ENSG00000170581;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000089127;ENSG00000119917;ENSG00000134321
GO:0071357	cellular response to type I interferon	http://amigo.geneontology.org/amigo/term/GO:0071357	70	12	0.9535436612478314	12.584636118598382	1.589386400269177e-10	3.544729019200332e-7	103;3133;3134;3437;3669;3716;4600;4938;6773;7297;10379;91543	ENSG00000162434;ENSG00000105397;ENSG00000204592;ENSG00000160710;ENSG00000183486;ENSG00000170581;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000089127;ENSG00000119917;ENSG00000134321
GO:0002682	regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	1344	47	18.30803829595836	2.5671783748876913	1.2151236683521915e-9	2.1680236490739802e-6	177;207;678;710;972;1141;2213;3109;3111;3113;3115;3119;3123;3133;3134;3579;3716;4851;5005;5293;5591;5610;5977;8111;9466;10384;10385;10603;11118;11119;25865;27086;51191;53347;54210;55072;55080;57118;64581;79908;80024;81622;91543;170482;171389;338442;100528032	ENSG00000133884;ENSG00000089060;ENSG00000104998;ENSG00000162434;ENSG00000110057;ENSG00000092098;ENSG00000139192;ENSG00000142208;ENSG00000204252;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000160999;ENSG00000213809;ENSG00000072694;ENSG00000223865;ENSG00000105287;ENSG00000172243;ENSG00000124508;ENSG00000148400;ENSG00000204642;ENSG00000160716;ENSG00000113303;ENSG00000019582;ENSG00000152518;ENSG00000180871;ENSG00000183049;ENSG00000055332;ENSG00000186470;ENSG00000228278;ENSG00000253729;ENSG00000124731;ENSG00000285708;ENSG00000196126;ENSG00000174885;ENSG00000231389;ENSG00000026950;ENSG00000160185;ENSG00000111801;ENSG00000138646;ENSG00000198178;ENSG00000242574;ENSG00000119714;ENSG00000179344;ENSG00000134321;ENSG00000182782;ENSG00000149131
GO:0006952	defense response	http://amigo.geneontology.org/amigo/term/GO:0006952	1433	48	19.520400950973464	2.4589658850017773	3.199886244864558e-9	4.757697531739454e-6	103;177;207;710;818;944;972;1232;2213;3113;3115;3119;3123;3133;3134;3437;3579;3669;3716;4600;4851;4938;5005;5293;5591;5610;6039;6773;7297;8111;9020;9466;10014;10379;22861;23780;26100;27086;51191;54210;57118;64581;81622;81844;91543;170482;171389;100528032	ENSG00000157954;ENSG00000169871;ENSG00000104998;ENSG00000162434;ENSG00000110057;ENSG00000105397;ENSG00000108840;ENSG00000142208;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000213809;ENSG00000072694;ENSG00000223865;ENSG00000160710;ENSG00000148660;ENSG00000183486;ENSG00000170581;ENSG00000172243;ENSG00000213928;ENSG00000172183;ENSG00000148400;ENSG00000204642;ENSG00000006062;ENSG00000128335;ENSG00000019582;ENSG00000180871;ENSG00000106952;ENSG00000183049;ENSG00000055332;ENSG00000169413;ENSG00000228278;ENSG00000253729;ENSG00000124731;ENSG00000285708;ENSG00000196126;ENSG00000174885;ENSG00000231389;ENSG00000183625;ENSG00000091592;ENSG00000138646;ENSG00000198178;ENSG00000119714;ENSG00000179344;ENSG00000089127;ENSG00000119917;ENSG00000134321;ENSG00000149131
GO:0045087	innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045087	780	33	10.62520079676155	3.1058236574746005	6.093104465421106e-9	7.76522641943167e-6	103;177;710;818;2213;3113;3115;3119;3123;3133;3134;3437;3669;3716;4600;4938;5293;5591;5610;6039;6773;7297;10379;22861;51191;54210;64581;81622;81844;91543;170482;171389;100528032	ENSG00000169871;ENSG00000162434;ENSG00000110057;ENSG00000105397;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000213809;ENSG00000072694;ENSG00000223865;ENSG00000160710;ENSG00000148660;ENSG00000183486;ENSG00000170581;ENSG00000172243;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000055332;ENSG00000169413;ENSG00000253729;ENSG00000124731;ENSG00000196126;ENSG00000174885;ENSG00000231389;ENSG00000091592;ENSG00000138646;ENSG00000198178;ENSG00000179344;ENSG00000089127;ENSG00000119917;ENSG00000134321;ENSG00000149131
GO:0019221	cytokine-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0019221	669	30	9.11315299106856	3.2919451730264826	8.749582391942567e-9	9.756878064814956e-6	103;207;818;944;972;1232;3113;3115;3119;3123;3133;3134;3437;3579;3669;3716;4600;4938;5293;5306;6773;7297;8718;9020;9466;10379;10603;55072;57161;91543	ENSG00000104998;ENSG00000162434;ENSG00000105397;ENSG00000139946;ENSG00000092098;ENSG00000142208;ENSG00000204592;ENSG00000171608;ENSG00000160999;ENSG00000174238;ENSG00000223865;ENSG00000160710;ENSG00000148660;ENSG00000183486;ENSG00000170581;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000006062;ENSG00000019582;ENSG00000180871;ENSG00000106952;ENSG00000215788;ENSG00000196126;ENSG00000231389;ENSG00000183625;ENSG00000179344;ENSG00000089127;ENSG00000119917;ENSG00000134321
GO:0002252	immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002252	1097	39	14.943391376983872	2.609849331796839	2.6870241365273273e-8	2.663438035773365e-5	103;177;710;972;2213;2215;3109;3119;3133;3134;3437;3579;3669;4311;4600;4938;5005;5293;5591;5610;6039;6773;9020;9466;10379;10384;11118;23526;27086;51191;51816;81622;81844;83716;84329;84658;91543;170482;100528032	ENSG00000169871;ENSG00000104998;ENSG00000180448;ENSG00000110057;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000093072;ENSG00000213809;ENSG00000072694;ENSG00000160710;ENSG00000122986;ENSG00000103196;ENSG00000183486;ENSG00000170581;ENSG00000213928;ENSG00000172183;ENSG00000204642;ENSG00000006062;ENSG00000019582;ENSG00000180871;ENSG00000055332;ENSG00000169413;ENSG00000186470;ENSG00000228278;ENSG00000253729;ENSG00000285708;ENSG00000111801;ENSG00000138646;ENSG00000198178;ENSG00000242574;ENSG00000179344;ENSG00000162747;ENSG00000089127;ENSG00000119917;ENSG00000131355;ENSG00000134321;ENSG00000149131;ENSG00000196549
GO:0002684	positive regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002684	938	35	12.777485060720942	2.7391931850183044	4.810779175024038e-8	4.291696102038945e-5	177;207;710;972;1141;2213;3109;3113;3115;3119;3123;3133;3134;3579;5293;5591;8111;9466;10384;10385;10603;11118;11119;25865;53347;55072;57118;64581;79908;81622;91543;170482;171389;338442;100528032	ENSG00000104998;ENSG00000110057;ENSG00000092098;ENSG00000142208;ENSG00000204305;ENSG00000204592;ENSG00000171608;ENSG00000160999;ENSG00000213809;ENSG00000072694;ENSG00000223865;ENSG00000105287;ENSG00000172243;ENSG00000124508;ENSG00000204642;ENSG00000160716;ENSG00000113303;ENSG00000019582;ENSG00000180871;ENSG00000183049;ENSG00000186470;ENSG00000253729;ENSG00000196126;ENSG00000174885;ENSG00000231389;ENSG00000026950;ENSG00000160185;ENSG00000111801;ENSG00000198178;ENSG00000242574;ENSG00000119714;ENSG00000179344;ENSG00000134321;ENSG00000182782;ENSG00000149131
