userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000118113	MMP8	matrix metallopeptidase 8	4317	https://www.ncbi.nlm.nih.gov/gene/?term=4317
ENSG00000148346	LCN2	lipocalin 2	3934	https://www.ncbi.nlm.nih.gov/gene/?term=3934
ENSG00000102837	OLFM4	olfactomedin 4	10562	https://www.ncbi.nlm.nih.gov/gene/?term=10562
ENSG00000170439	METTL7B	methyltransferase like 7B	196410	https://www.ncbi.nlm.nih.gov/gene/?term=196410
ENSG00000137869	CYP19A1	cytochrome P450 family 19 subfamily A member 1	1588	https://www.ncbi.nlm.nih.gov/gene/?term=1588
ENSG00000104918	RETN	resistin	56729	https://www.ncbi.nlm.nih.gov/gene/?term=56729
ENSG00000172594	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	10924	https://www.ncbi.nlm.nih.gov/gene/?term=10924
ENSG00000197632	SERPINB2	serpin family B member 2	5055	https://www.ncbi.nlm.nih.gov/gene/?term=5055
ENSG00000169174	PCSK9	proprotein convertase subtilisin/kexin type 9	255738	https://www.ncbi.nlm.nih.gov/gene/?term=255738
ENSG00000257017	HP	haptoglobin	3240	https://www.ncbi.nlm.nih.gov/gene/?term=3240
ENSG00000139572	GPR84	G protein-coupled receptor 84	53831	https://www.ncbi.nlm.nih.gov/gene/?term=53831
ENSG00000153208	MERTK	MER proto-oncogene, tyrosine kinase	10461	https://www.ncbi.nlm.nih.gov/gene/?term=10461
ENSG00000133101	CCNA1	cyclin A1	8900	https://www.ncbi.nlm.nih.gov/gene/?term=8900
ENSG00000012223	LTF	lactotransferrin	4057	https://www.ncbi.nlm.nih.gov/gene/?term=4057
ENSG00000197506	SLC28A3	solute carrier family 28 member 3	64078	https://www.ncbi.nlm.nih.gov/gene/?term=64078
ENSG00000105374	NKG7	natural killer cell granule protein 7	4818	https://www.ncbi.nlm.nih.gov/gene/?term=4818
ENSG00000152760	TCTEX1D1	Tctex1 domain containing 1	200132	https://www.ncbi.nlm.nih.gov/gene/?term=200132
ENSG00000156140	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	https://www.ncbi.nlm.nih.gov/gene/?term=9508
ENSG00000110079	MS4A4A	membrane spanning 4-domains A4A	51338	https://www.ncbi.nlm.nih.gov/gene/?term=51338
ENSG00000152766	ANKRD22	ankyrin repeat domain 22	118932	https://www.ncbi.nlm.nih.gov/gene/?term=118932
ENSG00000163710	PCOLCE2	procollagen C-endopeptidase enhancer 2	26577	https://www.ncbi.nlm.nih.gov/gene/?term=26577
ENSG00000272398	CD24	CD24 molecule	100133941	https://www.ncbi.nlm.nih.gov/gene/?term=100133941
ENSG00000135424	ITGA7	integrin subunit alpha 7	3679	https://www.ncbi.nlm.nih.gov/gene/?term=3679
ENSG00000134827	TCN1	transcobalamin 1	6947	https://www.ncbi.nlm.nih.gov/gene/?term=6947
ENSG00000205213	LGR4	leucine rich repeat containing G protein-coupled receptor 4	55366	https://www.ncbi.nlm.nih.gov/gene/?term=55366
