userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000030066	NUP160	nucleoporin 160	23279	https://www.ncbi.nlm.nih.gov/gene/?term=23279
ENSG00000197948	FCHSD1	FCH and double SH3 domains 1	89848	https://www.ncbi.nlm.nih.gov/gene/?term=89848
ENSG00000133884	DPF2	double PHD fingers 2	5977	https://www.ncbi.nlm.nih.gov/gene/?term=5977
ENSG00000114316	USP4	ubiquitin specific peptidase 4	7375	https://www.ncbi.nlm.nih.gov/gene/?term=7375
ENSG00000114316	LOC107986084	Sjoegren syndrome nuclear autoantigen 1 homolog	107986084	https://www.ncbi.nlm.nih.gov/gene/?term=107986084
ENSG00000157954	WIPI2	WD repeat domain, phosphoinositide interacting 2	26100	https://www.ncbi.nlm.nih.gov/gene/?term=26100
ENSG00000089060	SLC8B1	solute carrier family 8 member B1	80024	https://www.ncbi.nlm.nih.gov/gene/?term=80024
ENSG00000166526	ZNF3	zinc finger protein 3	7551	https://www.ncbi.nlm.nih.gov/gene/?term=7551
ENSG00000168397	ATG4B	autophagy related 4B cysteine peptidase	23192	https://www.ncbi.nlm.nih.gov/gene/?term=23192
ENSG00000166986	MARS	methionyl-tRNA synthetase	4141	https://www.ncbi.nlm.nih.gov/gene/?term=4141
ENSG00000174652	ZNF266	zinc finger protein 266	10781	https://www.ncbi.nlm.nih.gov/gene/?term=10781
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	6482	https://www.ncbi.nlm.nih.gov/gene/?term=6482
ENSG00000160783	PMF1	polyamine modulated factor 1	11243	https://www.ncbi.nlm.nih.gov/gene/?term=11243
ENSG00000146067	FAM193B	family with sequence similarity 193 member B	54540	https://www.ncbi.nlm.nih.gov/gene/?term=54540
ENSG00000169871	TRIM56	tripartite motif containing 56	81844	https://www.ncbi.nlm.nih.gov/gene/?term=81844
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	10499	https://www.ncbi.nlm.nih.gov/gene/?term=10499
ENSG00000104998	IL27RA	interleukin 27 receptor subunit alpha	9466	https://www.ncbi.nlm.nih.gov/gene/?term=9466
ENSG00000162434	JAK1	Janus kinase 1	3716	https://www.ncbi.nlm.nih.gov/gene/?term=3716
ENSG00000178607	ERN1	endoplasmic reticulum to nucleus signaling 1	2081	https://www.ncbi.nlm.nih.gov/gene/?term=2081
ENSG00000197971	MBP	myelin basic protein	4155	https://www.ncbi.nlm.nih.gov/gene/?term=4155
ENSG00000181222	POLR2A	RNA polymerase II subunit A	5430	https://www.ncbi.nlm.nih.gov/gene/?term=5430
ENSG00000163635	ATXN7	ataxin 7	6314	https://www.ncbi.nlm.nih.gov/gene/?term=6314
ENSG00000180448	ARHGAP45	Rho GTPase activating protein 45	23526	https://www.ncbi.nlm.nih.gov/gene/?term=23526
ENSG00000110057	UNC93B1	unc-93 homolog B1, TLR signaling regulator	81622	https://www.ncbi.nlm.nih.gov/gene/?term=81622
ENSG00000163666	HESX1	HESX homeobox 1	8820	https://www.ncbi.nlm.nih.gov/gene/?term=8820
ENSG00000158773	USF1	upstream transcription factor 1	7391	https://www.ncbi.nlm.nih.gov/gene/?term=7391
ENSG00000105397	TYK2	tyrosine kinase 2	7297	https://www.ncbi.nlm.nih.gov/gene/?term=7297
ENSG00000139946	PELI2	pellino E3 ubiquitin protein ligase family member 2	57161	https://www.ncbi.nlm.nih.gov/gene/?term=57161
ENSG00000100100	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	113791	https://www.ncbi.nlm.nih.gov/gene/?term=113791
ENSG00000176095	IP6K1	inositol hexakisphosphate kinase 1	9807	https://www.ncbi.nlm.nih.gov/gene/?term=9807
ENSG00000162413	KLHL21	kelch like family member 21	9903	https://www.ncbi.nlm.nih.gov/gene/?term=9903
ENSG00000157881	PANK4	pantothenate kinase 4	55229	https://www.ncbi.nlm.nih.gov/gene/?term=55229
ENSG00000146859	TMEM140	transmembrane protein 140	55281	https://www.ncbi.nlm.nih.gov/gene/?term=55281
