userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000163807	KIAA1143	KIAA1143	57456	https://www.ncbi.nlm.nih.gov/gene/?term=57456
ENSG00000151327	FAM177A1	family with sequence similarity 177 member A1	283635	https://www.ncbi.nlm.nih.gov/gene/?term=283635
ENSG00000151327	LOC101927178	uncharacterized LOC101927178	101927178	https://www.ncbi.nlm.nih.gov/gene/?term=101927178
ENSG00000169895	SYAP1	synapse associated protein 1	94056	https://www.ncbi.nlm.nih.gov/gene/?term=94056
ENSG00000165637	VDAC2	voltage dependent anion channel 2	7417	https://www.ncbi.nlm.nih.gov/gene/?term=7417
ENSG00000033627	ATP6V0A1	ATPase H+ transporting V0 subunit a1	535	https://www.ncbi.nlm.nih.gov/gene/?term=535
ENSG00000111725	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	5564	https://www.ncbi.nlm.nih.gov/gene/?term=5564
ENSG00000204138	PHACTR4	phosphatase and actin regulator 4	65979	https://www.ncbi.nlm.nih.gov/gene/?term=65979
ENSG00000166272	WBP1L	WW domain binding protein 1 like	54838	https://www.ncbi.nlm.nih.gov/gene/?term=54838
ENSG00000166272	CYP17A1-AS1	CYP17A1 antisense RNA 1	102724307	https://www.ncbi.nlm.nih.gov/gene/?term=102724307
ENSG00000160908	ZNF394	zinc finger protein 394	84124	https://www.ncbi.nlm.nih.gov/gene/?term=84124
ENSG00000069345	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	10294	https://www.ncbi.nlm.nih.gov/gene/?term=10294
ENSG00000161654	LSM12	LSM12 homolog	124801	https://www.ncbi.nlm.nih.gov/gene/?term=124801
ENSG00000122692	SMU1	SMU1, DNA replication regulator and spliceosomal factor	55234	https://www.ncbi.nlm.nih.gov/gene/?term=55234
ENSG00000173064	HECTD4	HECT domain E3 ubiquitin protein ligase 4	283450	https://www.ncbi.nlm.nih.gov/gene/?term=283450
ENSG00000143437	ARNT	aryl hydrocarbon receptor nuclear translocator	405	https://www.ncbi.nlm.nih.gov/gene/?term=405
ENSG00000099385	BCL7C	BCL7C, BAF complex component	9274	https://www.ncbi.nlm.nih.gov/gene/?term=9274
ENSG00000126698	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	22826	https://www.ncbi.nlm.nih.gov/gene/?term=22826
ENSG00000100764	PSMC1	proteasome 26S subunit, ATPase 1	5700	https://www.ncbi.nlm.nih.gov/gene/?term=5700
ENSG00000122705	CLTA	clathrin light chain A	1211	https://www.ncbi.nlm.nih.gov/gene/?term=1211
ENSG00000115762	PLEKHB2	pleckstrin homology domain containing B2	55041	https://www.ncbi.nlm.nih.gov/gene/?term=55041
ENSG00000204435	CSNK2B	casein kinase 2 beta	1460	https://www.ncbi.nlm.nih.gov/gene/?term=1460
ENSG00000196531	NACA	nascent polypeptide associated complex subunit alpha	4666	https://www.ncbi.nlm.nih.gov/gene/?term=4666
ENSG00000131475	VPS25	vacuolar protein sorting 25 homolog	84313	https://www.ncbi.nlm.nih.gov/gene/?term=84313
ENSG00000108587	GOSR1	golgi SNAP receptor complex member 1	9527	https://www.ncbi.nlm.nih.gov/gene/?term=9527
ENSG00000110200	ANAPC15	anaphase promoting complex subunit 15	25906	https://www.ncbi.nlm.nih.gov/gene/?term=25906
ENSG00000078747	ITCH	itchy E3 ubiquitin protein ligase	83737	https://www.ncbi.nlm.nih.gov/gene/?term=83737
ENSG00000099783	HNRNPM	heterogeneous nuclear ribonucleoprotein M	4670	https://www.ncbi.nlm.nih.gov/gene/?term=4670
ENSG00000126581	BECN1	beclin 1	8678	https://www.ncbi.nlm.nih.gov/gene/?term=8678
ENSG00000204842	ATXN2	ataxin 2	6311	https://www.ncbi.nlm.nih.gov/gene/?term=6311
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175	https://www.ncbi.nlm.nih.gov/gene/?term=9175
