userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000185982	DEFB128	defensin beta 128	245939	https://www.ncbi.nlm.nih.gov/gene/?term=245939
ENSG00000126233	SLURP1	secreted LY6/PLAUR domain containing 1	57152	https://www.ncbi.nlm.nih.gov/gene/?term=57152
ENSG00000259399	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough	100527943	https://www.ncbi.nlm.nih.gov/gene/?term=100527943
ENSG00000122679	RAMP3	receptor activity modifying protein 3	10268	https://www.ncbi.nlm.nih.gov/gene/?term=10268
ENSG00000096395	MLN	motilin	4295	https://www.ncbi.nlm.nih.gov/gene/?term=4295
ENSG00000233917	POTEB	POTE ankyrin domain family member B	100996331	https://www.ncbi.nlm.nih.gov/gene/?term=100996331
ENSG00000149131	SERPING1	serpin family G member 1	710	https://www.ncbi.nlm.nih.gov/gene/?term=710
ENSG00000158488	CD1E	CD1e molecule	913	https://www.ncbi.nlm.nih.gov/gene/?term=913
ENSG00000131477	RAMP2	receptor activity modifying protein 2	10266	https://www.ncbi.nlm.nih.gov/gene/?term=10266
ENSG00000147647	DPYS	dihydropyrimidinase	1807	https://www.ncbi.nlm.nih.gov/gene/?term=1807
ENSG00000159166	LAD1	ladinin 1	3898	https://www.ncbi.nlm.nih.gov/gene/?term=3898
ENSG00000203784	LELP1	late cornified envelope like proline rich 1	149018	https://www.ncbi.nlm.nih.gov/gene/?term=149018
ENSG00000143556	S100A7	S100 calcium binding protein A7	6278	https://www.ncbi.nlm.nih.gov/gene/?term=6278
ENSG00000182272	B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4	338707	https://www.ncbi.nlm.nih.gov/gene/?term=338707
ENSG00000160472	TMEM190	transmembrane protein 190	147744	https://www.ncbi.nlm.nih.gov/gene/?term=147744
ENSG00000214978	GSG1L2	GSG1 like 2	644070	https://www.ncbi.nlm.nih.gov/gene/?term=644070
ENSG00000236543	LOC102723971	lipocalin 1-like	102723971	https://www.ncbi.nlm.nih.gov/gene/?term=102723971
ENSG00000214681	IQCF5	IQ motif containing F5	389124	https://www.ncbi.nlm.nih.gov/gene/?term=389124
ENSG00000115255	REEP6	receptor accessory protein 6	92840	https://www.ncbi.nlm.nih.gov/gene/?term=92840
ENSG00000149403	GRIK4	glutamate ionotropic receptor kainate type subunit 4	2900	https://www.ncbi.nlm.nih.gov/gene/?term=2900
ENSG00000165131	LLCFC1	LLLL and CFNLAS motif containing 1	135927	https://www.ncbi.nlm.nih.gov/gene/?term=135927
ENSG00000170231	FABP6	fatty acid binding protein 6	2172	https://www.ncbi.nlm.nih.gov/gene/?term=2172
ENSG00000167858	TEKT1	tektin 1	83659	https://www.ncbi.nlm.nih.gov/gene/?term=83659
