userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000143543	JTB	jumping translocation breakpoint	10899	https://www.ncbi.nlm.nih.gov/gene/?term=10899
ENSG00000091542	ALKBH5	alkB homolog 5, RNA demethylase	54890	https://www.ncbi.nlm.nih.gov/gene/?term=54890
ENSG00000110048	OSBP	oxysterol binding protein	5007	https://www.ncbi.nlm.nih.gov/gene/?term=5007
ENSG00000083123	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	594	https://www.ncbi.nlm.nih.gov/gene/?term=594
ENSG00000075415	SLC25A3	solute carrier family 25 member 3	5250	https://www.ncbi.nlm.nih.gov/gene/?term=5250
ENSG00000115970	THADA	THADA, armadillo repeat containing	63892	https://www.ncbi.nlm.nih.gov/gene/?term=63892
ENSG00000101639	CEP192	centrosomal protein 192	55125	https://www.ncbi.nlm.nih.gov/gene/?term=55125
ENSG00000101365	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	3420	https://www.ncbi.nlm.nih.gov/gene/?term=3420
ENSG00000205937	RNPS1	RNA binding protein with serine rich domain 1	10921	https://www.ncbi.nlm.nih.gov/gene/?term=10921
ENSG00000204237	OXLD1	oxidoreductase like domain containing 1	339229	https://www.ncbi.nlm.nih.gov/gene/?term=339229
ENSG00000087365	SF3B2	splicing factor 3b subunit 2	10992	https://www.ncbi.nlm.nih.gov/gene/?term=10992
ENSG00000170633	RNF34	ring finger protein 34	80196	https://www.ncbi.nlm.nih.gov/gene/?term=80196
ENSG00000178234	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	63917	https://www.ncbi.nlm.nih.gov/gene/?term=63917
ENSG00000122482	ZNF644	zinc finger protein 644	84146	https://www.ncbi.nlm.nih.gov/gene/?term=84146
ENSG00000179889	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	23042	https://www.ncbi.nlm.nih.gov/gene/?term=23042
ENSG00000179889	LOC102724985	pyridoxal-dependent decarboxylase domain-containing protein 1	102724985	https://www.ncbi.nlm.nih.gov/gene/?term=102724985
ENSG00000125107	CNOT1	CCR4-NOT transcription complex subunit 1	23019	https://www.ncbi.nlm.nih.gov/gene/?term=23019
ENSG00000159131	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
ENSG00000149716	LTO1	LTO1, ABCE1 maturation factor	220064	https://www.ncbi.nlm.nih.gov/gene/?term=220064
ENSG00000133997	MED6	mediator complex subunit 6	10001	https://www.ncbi.nlm.nih.gov/gene/?term=10001
ENSG00000160633	SAFB	scaffold attachment factor B	6294	https://www.ncbi.nlm.nih.gov/gene/?term=6294
ENSG00000103275	UBE2I	ubiquitin conjugating enzyme E2 I	7329	https://www.ncbi.nlm.nih.gov/gene/?term=7329
ENSG00000111652	COPS7A	COP9 signalosome subunit 7A	50813	https://www.ncbi.nlm.nih.gov/gene/?term=50813
ENSG00000103047	TANGO6	transport and golgi organization 6 homolog	79613	https://www.ncbi.nlm.nih.gov/gene/?term=79613
ENSG00000136932	TRMO	tRNA methyltransferase O	51531	https://www.ncbi.nlm.nih.gov/gene/?term=51531
ENSG00000174177	CTU2	cytosolic thiouridylase subunit 2	348180	https://www.ncbi.nlm.nih.gov/gene/?term=348180
ENSG00000153560	UBP1	upstream binding protein 1	7342	https://www.ncbi.nlm.nih.gov/gene/?term=7342
ENSG00000087111	PIGS	phosphatidylinositol glycan anchor biosynthesis class S	94005	https://www.ncbi.nlm.nih.gov/gene/?term=94005
ENSG00000244462	RBM12	RNA binding motif protein 12	10137	https://www.ncbi.nlm.nih.gov/gene/?term=10137
ENSG00000151461	UPF2	UPF2, regulator of nonsense mediated mRNA decay	26019	https://www.ncbi.nlm.nih.gov/gene/?term=26019
ENSG00000100056	ESS2	ess-2 splicing factor homolog	8220	https://www.ncbi.nlm.nih.gov/gene/?term=8220
ENSG00000087087	SRRT	serrate, RNA effector molecule	51593	https://www.ncbi.nlm.nih.gov/gene/?term=51593
ENSG00000061936	SFSWAP	splicing factor SWAP	6433	https://www.ncbi.nlm.nih.gov/gene/?term=6433
ENSG00000163794	UCN	urocortin	7349	https://www.ncbi.nlm.nih.gov/gene/?term=7349
ENSG00000160075	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	29101	https://www.ncbi.nlm.nih.gov/gene/?term=29101
ENSG00000135622	SEMA4F	ssemaphorin 4F	10505	https://www.ncbi.nlm.nih.gov/gene/?term=10505
ENSG00000169918	OTUD7A	OTU deubiquitinase 7A	161725	https://www.ncbi.nlm.nih.gov/gene/?term=161725
ENSG00000136487	GH2	growth hormone 2	2689	https://www.ncbi.nlm.nih.gov/gene/?term=2689
ENSG00000158092	NCK1	NCK adaptor protein 1	4690	https://www.ncbi.nlm.nih.gov/gene/?term=4690
ENSG00000011007	ELOA	elongin A	6924	https://www.ncbi.nlm.nih.gov/gene/?term=6924
ENSG00000162384	CZIB	CXXC motif containing zinc binding protein	54987	https://www.ncbi.nlm.nih.gov/gene/?term=54987
ENSG00000198231	DDX42	DEAD-box helicase 42	11325	https://www.ncbi.nlm.nih.gov/gene/?term=11325
ENSG00000137221	TJAP1	tight junction associated protein 1	93643	https://www.ncbi.nlm.nih.gov/gene/?term=93643
ENSG00000077232	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	54431	https://www.ncbi.nlm.nih.gov/gene/?term=54431
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	9659	https://www.ncbi.nlm.nih.gov/gene/?term=9659
ENSG00000178104	LOC653513	NA	653513	https://www.ncbi.nlm.nih.gov/gene/?term=653513
ENSG00000085365	SCAMP1	secretory carrier membrane protein 1	9522	https://www.ncbi.nlm.nih.gov/gene/?term=9522
ENSG00000166833	NAV2	neuron navigator 2	89797	https://www.ncbi.nlm.nih.gov/gene/?term=89797
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	8289	https://www.ncbi.nlm.nih.gov/gene/?term=8289
ENSG00000148229	POLE3	DNA polymerase epsilon 3, accessory subunit	54107	https://www.ncbi.nlm.nih.gov/gene/?term=54107
ENSG00000153391	INO80C	INO80 complex subunit C	125476	https://www.ncbi.nlm.nih.gov/gene/?term=125476
ENSG00000145723	GIN1	gypsy retrotransposon integrase 1	54826	https://www.ncbi.nlm.nih.gov/gene/?term=54826
ENSG00000122729	ACO1	aconitase 1	48	https://www.ncbi.nlm.nih.gov/gene/?term=48
ENSG00000204568	MRPS18B	mitochondrial ribosomal protein S18B	28973	https://www.ncbi.nlm.nih.gov/gene/?term=28973
ENSG00000112624	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	23506	https://www.ncbi.nlm.nih.gov/gene/?term=23506
ENSG00000142173	COL6A2	collagen type VI alpha 2 chain	1292	https://www.ncbi.nlm.nih.gov/gene/?term=1292
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	6597	https://www.ncbi.nlm.nih.gov/gene/?term=6597
ENSG00000136986	DERL1	derlin 1	79139	https://www.ncbi.nlm.nih.gov/gene/?term=79139
ENSG00000127922	SEM1	SEM1, 26S proteasome complex subunit	7979	https://www.ncbi.nlm.nih.gov/gene/?term=7979
ENSG00000169499	PLEKHA2	pleckstrin homology domain containing A2	59339	https://www.ncbi.nlm.nih.gov/gene/?term=59339
ENSG00000100650	SRSF5	serine and arginine rich splicing factor 5	6430	https://www.ncbi.nlm.nih.gov/gene/?term=6430
ENSG00000111271	ACAD10	acyl-CoA dehydrogenase family member 10	80724	https://www.ncbi.nlm.nih.gov/gene/?term=80724
ENSG00000149262	INTS4	integrator complex subunit 4	92105	https://www.ncbi.nlm.nih.gov/gene/?term=92105
ENSG00000121897	LIAS	lipoic acid synthetase	11019	https://www.ncbi.nlm.nih.gov/gene/?term=11019
ENSG00000198945	L3MBTL3	L3MBTL3, histone methyl-lysine binding protein	84456	https://www.ncbi.nlm.nih.gov/gene/?term=84456
ENSG00000196459	TRAPPC2	trafficking protein particle complex 2	6399	https://www.ncbi.nlm.nih.gov/gene/?term=6399
ENSG00000196459	TRAPPC2B	trafficking protein particle complex 2B	10597	https://www.ncbi.nlm.nih.gov/gene/?term=10597
ENSG00000130669	PAK4	p21 (RAC1) activated kinase 4	10298	https://www.ncbi.nlm.nih.gov/gene/?term=10298
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1	54467	https://www.ncbi.nlm.nih.gov/gene/?term=54467
ENSG00000092978	GPATCH2	G-patch domain containing 2	55105	https://www.ncbi.nlm.nih.gov/gene/?term=55105
ENSG00000071894	CPSF1	cleavage and polyadenylation specific factor 1	29894	https://www.ncbi.nlm.nih.gov/gene/?term=29894
ENSG00000124193	SRSF6	serine and arginine rich splicing factor 6	6431	https://www.ncbi.nlm.nih.gov/gene/?term=6431
ENSG00000041982	TNC	tenascin C	3371	https://www.ncbi.nlm.nih.gov/gene/?term=3371
ENSG00000153485	TMEM251	transmembrane protein 251	26175	https://www.ncbi.nlm.nih.gov/gene/?term=26175
ENSG00000204842	ATXN2	ataxin 2	6311	https://www.ncbi.nlm.nih.gov/gene/?term=6311
ENSG00000074755	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	23140	https://www.ncbi.nlm.nih.gov/gene/?term=23140
ENSG00000214300	SPDYE3	speedy/RINGO cell cycle regulator family member E3	441272	https://www.ncbi.nlm.nih.gov/gene/?term=441272
ENSG00000263956	NBPF11	NBPF member 11	200030	https://www.ncbi.nlm.nih.gov/gene/?term=200030
ENSG00000263956	LOC102724250	neuroblastoma breakpoint family member 1	102724250	https://www.ncbi.nlm.nih.gov/gene/?term=102724250
ENSG00000073050	XRCC1	X-ray repair cross complementing 1	7515	https://www.ncbi.nlm.nih.gov/gene/?term=7515
ENSG00000139372	TDG	thymine DNA glycosylase	6996	https://www.ncbi.nlm.nih.gov/gene/?term=6996
ENSG00000160688	FLAD1	flavin adenine dinucleotide synthetase 1	80308	https://www.ncbi.nlm.nih.gov/gene/?term=80308
ENSG00000184076	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	29796	https://www.ncbi.nlm.nih.gov/gene/?term=29796
ENSG00000141002	TCF25	transcription factor 25	22980	https://www.ncbi.nlm.nih.gov/gene/?term=22980
ENSG00000140992	PDPK1	3-phosphoinositide dependent protein kinase 1	5170	https://www.ncbi.nlm.nih.gov/gene/?term=5170
ENSG00000136521	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	4711	https://www.ncbi.nlm.nih.gov/gene/?term=4711
ENSG00000198841	KTI12	KTI12 chromatin associated homolog	112970	https://www.ncbi.nlm.nih.gov/gene/?term=112970
ENSG00000153140	CETN3	centrin 3	1070	https://www.ncbi.nlm.nih.gov/gene/?term=1070
ENSG00000144713	RPL32	ribosomal protein L32	6161	https://www.ncbi.nlm.nih.gov/gene/?term=6161
ENSG00000174197	MGA	MGA, MAX dimerization protein	23269	https://www.ncbi.nlm.nih.gov/gene/?term=23269
ENSG00000130741	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	1968	https://www.ncbi.nlm.nih.gov/gene/?term=1968
ENSG00000105819	PMPCB	peptidase, mitochondrial processing beta subunit	9512	https://www.ncbi.nlm.nih.gov/gene/?term=9512
ENSG00000087263	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	55239	https://www.ncbi.nlm.nih.gov/gene/?term=55239
ENSG00000100271	TTLL1	tubulin tyrosine ligase like 1	25809	https://www.ncbi.nlm.nih.gov/gene/?term=25809
ENSG00000152683	SLC30A6	solute carrier family 30 member 6	55676	https://www.ncbi.nlm.nih.gov/gene/?term=55676
ENSG00000198912	C1orf174	chromosome 1 open reading frame 174	339448	https://www.ncbi.nlm.nih.gov/gene/?term=339448
ENSG00000172987	HPSE2	heparanase 2 (inactive)	60495	https://www.ncbi.nlm.nih.gov/gene/?term=60495
ENSG00000142197	DOP1B	DOP1 leucine zipper like protein B	9980	https://www.ncbi.nlm.nih.gov/gene/?term=9980
ENSG00000132463	GRSF1	G-rich RNA sequence binding factor 1	2926	https://www.ncbi.nlm.nih.gov/gene/?term=2926
ENSG00000125944	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236	https://www.ncbi.nlm.nih.gov/gene/?term=10236
ENSG00000215472	RPL17-C18orf32	RPL17-C18orf32 readthrough	100526842	https://www.ncbi.nlm.nih.gov/gene/?term=100526842
ENSG00000062485	CS	citrate synthase	1431	https://www.ncbi.nlm.nih.gov/gene/?term=1431
ENSG00000095059	DHPS	deoxyhypusine synthase	1725	https://www.ncbi.nlm.nih.gov/gene/?term=1725
ENSG00000179304	FAM156A	family with sequence similarity 156 member A	29057	https://www.ncbi.nlm.nih.gov/gene/?term=29057
ENSG00000179304	FAM156B	family with sequence similarity 156 member B	727866	https://www.ncbi.nlm.nih.gov/gene/?term=727866
ENSG00000158683	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
ENSG00000164932	CTHRC1	collagen triple helix repeat containing 1	115908	https://www.ncbi.nlm.nih.gov/gene/?term=115908
