userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000204936	CD177	CD177 molecule	57126	https://www.ncbi.nlm.nih.gov/gene/?term=57126
ENSG00000110079	MS4A4A	membrane spanning 4-domains A4A	51338	https://www.ncbi.nlm.nih.gov/gene/?term=51338
ENSG00000163958	ZDHHC19	zinc finger DHHC-type containing 19	131540	https://www.ncbi.nlm.nih.gov/gene/?term=131540
ENSG00000152463	OLAH	oleoyl-ACP hydrolase	55301	https://www.ncbi.nlm.nih.gov/gene/?term=55301
ENSG00000140379	BCL2A1	BCL2 related protein A1	597	https://www.ncbi.nlm.nih.gov/gene/?term=597
ENSG00000133069	TMCC2	transmembrane and coiled-coil domain family 2	9911	https://www.ncbi.nlm.nih.gov/gene/?term=9911
ENSG00000196415	PRTN3	proteinase 3	5657	https://www.ncbi.nlm.nih.gov/gene/?term=5657
ENSG00000164120	HPGD	15-hydroxyprostaglandin dehydrogenase	3248	https://www.ncbi.nlm.nih.gov/gene/?term=3248
ENSG00000186925	KRTAP19-6	keratin associated protein 19-6	337973	https://www.ncbi.nlm.nih.gov/gene/?term=337973
ENSG00000116985	BMP8B	bone morphogenetic protein 8b	656	https://www.ncbi.nlm.nih.gov/gene/?term=656
ENSG00000184270	HIST2H2AB	histone cluster 2 H2A family member b	317772	https://www.ncbi.nlm.nih.gov/gene/?term=317772
ENSG00000116016	EPAS1	endothelial PAS domain protein 1	2034	https://www.ncbi.nlm.nih.gov/gene/?term=2034
ENSG00000163959	SLC51A	solute carrier family 51 alpha subunit	200931	https://www.ncbi.nlm.nih.gov/gene/?term=200931
ENSG00000156113	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	3778	https://www.ncbi.nlm.nih.gov/gene/?term=3778
ENSG00000133460	SLC2A11	solute carrier family 2 member 11	66035	https://www.ncbi.nlm.nih.gov/gene/?term=66035
ENSG00000155307	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	64092	https://www.ncbi.nlm.nih.gov/gene/?term=64092
ENSG00000155307	LOC388813	uncharacterized protein ENSP00000383407-like	388813	https://www.ncbi.nlm.nih.gov/gene/?term=388813
ENSG00000104918	RETN	resistin	56729	https://www.ncbi.nlm.nih.gov/gene/?term=56729
ENSG00000213931	HBE1	hemoglobin subunit epsilon 1	3046	https://www.ncbi.nlm.nih.gov/gene/?term=3046
ENSG00000189127	ANKRD34B	ankyrin repeat domain 34B	340120	https://www.ncbi.nlm.nih.gov/gene/?term=340120
ENSG00000157456	CCNB2	cyclin B2	9133	https://www.ncbi.nlm.nih.gov/gene/?term=9133
ENSG00000136051	WASHC4	WASH complex subunit 4	23325	https://www.ncbi.nlm.nih.gov/gene/?term=23325
ENSG00000132170	PPARG	peroxisome proliferator activated receptor gamma	5468	https://www.ncbi.nlm.nih.gov/gene/?term=5468
ENSG00000170571	EMB	embigin	133418	https://www.ncbi.nlm.nih.gov/gene/?term=133418
ENSG00000116489	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	829	https://www.ncbi.nlm.nih.gov/gene/?term=829
ENSG00000131747	TOP2A	DNA topoisomerase II alpha	7153	https://www.ncbi.nlm.nih.gov/gene/?term=7153
ENSG00000122545	SEPT7	septin 7	989	https://www.ncbi.nlm.nih.gov/gene/?term=989
ENSG00000163221	S100A12	S100 calcium binding protein A12	6283	https://www.ncbi.nlm.nih.gov/gene/?term=6283
ENSG00000155629	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788	https://www.ncbi.nlm.nih.gov/gene/?term=118788
ENSG00000167994	RAB3IL1	RAB3A interacting protein like 1	5866	https://www.ncbi.nlm.nih.gov/gene/?term=5866
ENSG00000128383	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	200315	https://www.ncbi.nlm.nih.gov/gene/?term=200315
ENSG00000128383	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid	100913187	https://www.ncbi.nlm.nih.gov/gene/?term=100913187
ENSG00000187514	PTMA	prothymosin alpha	5757	https://www.ncbi.nlm.nih.gov/gene/?term=5757
ENSG00000112077	RHAG	Rh associated glycoprotein	6005	https://www.ncbi.nlm.nih.gov/gene/?term=6005
ENSG00000100526	CDKN3	cyclin dependent kinase inhibitor 3	1033	https://www.ncbi.nlm.nih.gov/gene/?term=1033
ENSG00000177576	C18orf32	chromosome 18 open reading frame 32	497661	https://www.ncbi.nlm.nih.gov/gene/?term=497661
