userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000188295	ZNF669	zinc finger protein 669	79862	https://www.ncbi.nlm.nih.gov/gene/?term=79862
ENSG00000186638	KIF24	kinesin family member 24	347240	https://www.ncbi.nlm.nih.gov/gene/?term=347240
ENSG00000173391	OLR1	oxidized low density lipoprotein receptor 1	4973	https://www.ncbi.nlm.nih.gov/gene/?term=4973
ENSG00000167604	NFKBID	NFKB inhibitor delta	84807	https://www.ncbi.nlm.nih.gov/gene/?term=84807
ENSG00000100226	GTPBP1	GTP binding protein 1	9567	https://www.ncbi.nlm.nih.gov/gene/?term=9567
ENSG00000053524	MCF2L2	MCF.2 cell line derived transforming sequence-like 2	23101	https://www.ncbi.nlm.nih.gov/gene/?term=23101
ENSG00000188215	DCUN1D3	defective in cullin neddylation 1 domain containing 3	123879	https://www.ncbi.nlm.nih.gov/gene/?term=123879
ENSG00000163874	ZC3H12A	zinc finger CCCH-type containing 12A	80149	https://www.ncbi.nlm.nih.gov/gene/?term=80149
ENSG00000158669	GPAT4	glycerol-3-phosphate acyltransferase 4	137964	https://www.ncbi.nlm.nih.gov/gene/?term=137964
ENSG00000168026	TTC21A	tetratricopeptide repeat domain 21A	199223	https://www.ncbi.nlm.nih.gov/gene/?term=199223
ENSG00000095794	CREM	cAMP responsive element modulator	1390	https://www.ncbi.nlm.nih.gov/gene/?term=1390
ENSG00000255423	EBLN2	endogenous Bornavirus like nucleoprotein 2	55096	https://www.ncbi.nlm.nih.gov/gene/?term=55096
ENSG00000132003	ZSWIM4	zinc finger SWIM-type containing 4	65249	https://www.ncbi.nlm.nih.gov/gene/?term=65249
ENSG00000173846	PLK3	polo like kinase 3	1263	https://www.ncbi.nlm.nih.gov/gene/?term=1263
ENSG00000272414	FAM47E-STBD1	FAM47E-STBD1 readthrough	100631383	https://www.ncbi.nlm.nih.gov/gene/?term=100631383
ENSG00000134070	IRAK2	interleukin 1 receptor associated kinase 2	3656	https://www.ncbi.nlm.nih.gov/gene/?term=3656
ENSG00000118503	TNFAIP3	TNF alpha induced protein 3	7128	https://www.ncbi.nlm.nih.gov/gene/?term=7128
ENSG00000075399	VPS9D1	VPS9 domain containing 1	9605	https://www.ncbi.nlm.nih.gov/gene/?term=9605
ENSG00000131873	CHSY1	chondroitin sulfate synthase 1	22856	https://www.ncbi.nlm.nih.gov/gene/?term=22856
ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	3091	https://www.ncbi.nlm.nih.gov/gene/?term=3091
ENSG00000163959	SLC51A	solute carrier family 51 alpha subunit	200931	https://www.ncbi.nlm.nih.gov/gene/?term=200931
ENSG00000137331	IER3	immediate early response 3	8870	https://www.ncbi.nlm.nih.gov/gene/?term=8870
ENSG00000213722	DDAH2	dimethylarginine dimethylaminohydrolase 2	23564	https://www.ncbi.nlm.nih.gov/gene/?term=23564
ENSG00000173334	TRIB1	tribbles pseudokinase 1	10221	https://www.ncbi.nlm.nih.gov/gene/?term=10221
ENSG00000196843	ARID5A	AT-rich interaction domain 5A	10865	https://www.ncbi.nlm.nih.gov/gene/?term=10865
ENSG00000144655	CSRNP1	cysteine and serine rich nuclear protein 1	64651	https://www.ncbi.nlm.nih.gov/gene/?term=64651
ENSG00000133116	KL	klotho	9365	https://www.ncbi.nlm.nih.gov/gene/?term=9365
ENSG00000185272	RBM11	RNA binding motif protein 11	54033	https://www.ncbi.nlm.nih.gov/gene/?term=54033
